^SAMPLE = GSM89181
!Sample_title = CGH3_14, APC_T_D2.7
!Sample_geo_accession = GSM89181
!Sample_status = Public on Dec 25 2005
!Sample_submission_date = Dec 23 2005
!Sample_last_update_date = Dec 23 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = APC_T_D2.7
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Phi-29 amplified genomic DNA from 1000 microdissected low grade dysplastic tumor colon mucosa cells
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy3
!Sample_source_name_ch2 = non-amplified commercial male (46, XY) genomic DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = non-amplified commercial male (46, XY) genomic DNA
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy5
!Sample_description = Phi-29 amplified microdissected dysplatic colon mucosa DNA sample from an individual affected by Familial Adenomatous Polyposis with a known APC mutation.Details of the sample are available in the publication Cardoso J. et al., âChromosomal instability in MYH- and APC-mutant adenomatous polypsâ, Cancer Research, accepted for publication.
!Sample_data_processing = Log2 ratios of vsn normalized intensities defined as ch1 divided by ch2.
!Sample_platform_id = GPL1506
!Sample_contact_name = Joana,,Cardoso
!Sample_contact_email = joanacardoso@fm.ul.pt
!Sample_contact_phone = 351-21-7999519
!Sample_contact_laboratory = Biology of Chromatin Unit
!Sample_contact_institute = Faculty of Medicine
!Sample_contact_address = Av. Prof Egaz Moniz
!Sample_contact_city = Lisbon
!Sample_contact_zip/postal_code = 1700
!Sample_contact_country = Portugal
!Sample_supplementary_file = NONE
!Sample_series_id = GSE3898
!Sample_data_row_count = 3615
#ID_REF = 
#VALUE = Log2 ratio of vsn normalized intensities
!sample_table_begin
ID_REF	VALUE
10	-0.069957725
11	-0.039464923
20	-0.073190805
21	0.015523399
40	-0.282521527
50	-0.031954252
60	-0.148079662
61	-0.155773554
62	-0.146384495
70	0.187834566
71	0.208729119
72	0.257137308
80	0.091309612
90	-0.086596327
91	0.023772729
92	0.005917935
100	0.226467054
101	0.161453445
102	0.155046436
110	0.21586036
!sample_table_end
