^SAMPLE = GSM552529
!Sample_title = Malignant mesothelioma, Y-MESO-22
!Sample_geo_accession = GSM552529
!Sample_status = Public on Jun 15 2010
!Sample_submission_date = Jun 08 2010
!Sample_last_update_date = Jun 09 2010
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Pooled normal genomic DNA, Male
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = sample type: Normal human genomic DNA purchased from Promega
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = DNA was prepared by standard techniques.
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = The samples were labeled using the Agilent Genomic DNA Labeling Kit PLUS according to manufacture's instructions. DNA was fragmented using restriction enzymes. Random hexamers were used to prim an Exo-Klenow fragment DNA polymerase reaction incorporating CyDye labeled dUTP.
!Sample_source_name_ch2 = Y-MESO-22 genomic DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = cell line: Human malignant pleural mesothelioma cell line, Y-MESO-22
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = DNA was prepared by standard techniques.
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = The samples were labeled using the Agilent Genomic DNA Labeling Kit PLUS according to manufacture's instructions. DNA was fragmented using restriction enzymes. Random hexamers were used to prim an Exo-Klenow fragment DNA polymerase reaction incorporating CyDye labeled dUTP.
!Sample_hyb_protocol = The samples were hybridized for 40 hours using Agilent Oligo aCGH Hybridization Kit according to the manufacture's instructions.
!Sample_scan_protocol = Arrays were scanned on an Agilent carousel scanner following manufacture's instructions. Agilent Feature Extraction software was used to extract the data.
!Sample_description = Malignant mesotehlioma cell line
!Sample_data_processing = Agilent Feature Extraction software
!Sample_platform_id = GPL9128
!Sample_contact_name = Hideki,,Murakami
!Sample_contact_email = hmurakami@aichi-cc.jp
!Sample_contact_phone = +81-52-764-2993
!Sample_contact_fax = +81-52-764-2993
!Sample_contact_department = Division of Molecular Oncology
!Sample_contact_institute = Aichi Cancer Center Institute
!Sample_contact_address = 1-1 Kanokoden Chukusa-ku
!Sample_contact_city = Nagoya
!Sample_contact_state = Aichi
!Sample_contact_zip/postal_code = 464-8681
!Sample_contact_country = Japan
!Sample_supplementary_file = NONE
!Sample_series_id = GSE22237
!Sample_data_row_count = 236385
#ID_REF = 
#VALUE = normalized log10 ratio Cy5/Cy3
#CH1_SIG_MEAN = Cy3 Mean signal
#CH1_BKD_MEAN = Cy3 background Mean signal
#CH2_SIG_MEAN = Cy5 Mean signal
#CH2_BKD_MEAN = Cy5 background Mean signal
!sample_table_begin
ID_REF	VALUE	CH1_SIG_MEAN	CH1_BKD_MEAN	CH2_SIG_MEAN	CH2_BKD_MEAN
A_14_P100000	-1.86E-01	3.55E+02	4.18E+01	2.73E+02	5.53E+01
A_14_P100001	-4.91E-02	3.63E+02	4.44E+01	3.61E+02	5.94E+01
A_14_P100002	1.66E-01	7.82E+02	4.66E+01	1.18E+03	5.62E+01
A_14_P100003	-1.38E-01	2.58E+02	4.38E+01	2.30E+02	6.21E+01
A_14_P100005	7.19E-02	4.70E+02	4.73E+01	5.77E+02	5.90E+01
A_14_P100006	-4.18E-03	2.55E+02	4.65E+01	2.76E+02	5.96E+01
A_14_P100007	-1.47E-01	3.32E+02	4.32E+01	2.79E+02	6.17E+01
A_14_P100008	4.75E-02	3.26E+02	4.72E+01	3.83E+02	6.00E+01
A_14_P100009	-1.84E-01	4.59E+02	4.60E+01	3.46E+02	6.23E+01
A_14_P100010	-2.45E-02	3.95E+02	4.38E+01	4.07E+02	5.75E+01
A_14_P100011	8.51E-02	4.47E+02	4.48E+01	5.66E+02	6.00E+01
A_14_P100012	5.54E-02	3.11E+02	4.22E+01	3.80E+02	6.12E+01
A_14_P100013	7.70E-02	5.36E+02	4.49E+01	6.66E+02	5.75E+01
A_14_P100014	1.24E-01	1.57E+02	4.56E+01	2.12E+02	5.99E+01
A_14_P100015	1.46E-01	3.63E+02	4.33E+01	5.16E+02	6.01E+01
A_14_P100016	-2.77E-02	2.91E+02	4.81E+01	3.07E+02	6.14E+01
A_14_P100017	6.19E-02	2.90E+02	4.39E+01	3.62E+02	6.07E+01
A_14_P100018	1.38E-01	5.05E+02	4.55E+01	7.18E+02	5.85E+01
A_14_P100019	-3.13E-02	6.70E+02	4.81E+01	6.74E+02	5.77E+01
A_14_P100020	-6.10E-02	3.78E+02	4.84E+01	3.62E+02	6.08E+01
!sample_table_end
