^SAMPLE = GSM552533
!Sample_title = Malignant mesothelioma, Y-MESO-27
!Sample_geo_accession = GSM552533
!Sample_status = Public on Jun 15 2010
!Sample_submission_date = Jun 08 2010
!Sample_last_update_date = Jun 09 2010
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Pooled normal genomic DNA, Male
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = sample type: Normal human genomic DNA purchased from Promega
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = DNA was prepared by standard techniques.
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = The samples were labeled using the Agilent Genomic DNA Labeling Kit PLUS according to manufacture's instructions. DNA was fragmented using restriction enzymes. Random hexamers were used to prim an Exo-Klenow fragment DNA polymerase reaction incorporating CyDye labeled dUTP.
!Sample_source_name_ch2 = Y-MESO-27 genomic DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = cell line: Human malignant pleural mesothelioma cell line, Y-MESO-27
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = DNA was prepared by standard techniques.
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = The samples were labeled using the Agilent Genomic DNA Labeling Kit PLUS according to manufacture's instructions. DNA was fragmented using restriction enzymes. Random hexamers were used to prim an Exo-Klenow fragment DNA polymerase reaction incorporating CyDye labeled dUTP.
!Sample_hyb_protocol = The samples were hybridized for 40 hours using Agilent Oligo aCGH Hybridization Kit according to the manufacture's instructions.
!Sample_scan_protocol = Arrays were scanned on an Agilent carousel scanner following manufacture's instructions. Agilent Feature Extraction software was used to extract the data.
!Sample_description = Malignant mesotehlioma cell line
!Sample_data_processing = Agilent Feature Extraction software
!Sample_platform_id = GPL9128
!Sample_contact_name = Hideki,,Murakami
!Sample_contact_email = hmurakami@aichi-cc.jp
!Sample_contact_phone = +81-52-764-2993
!Sample_contact_fax = +81-52-764-2993
!Sample_contact_department = Division of Molecular Oncology
!Sample_contact_institute = Aichi Cancer Center Institute
!Sample_contact_address = 1-1 Kanokoden Chukusa-ku
!Sample_contact_city = Nagoya
!Sample_contact_state = Aichi
!Sample_contact_zip/postal_code = 464-8681
!Sample_contact_country = Japan
!Sample_supplementary_file = NONE
!Sample_series_id = GSE22237
!Sample_data_row_count = 236385
#ID_REF = 
#VALUE = normalized log10 ratio Cy5/Cy3
#CH1_SIG_MEAN = Cy3 mean signal
#CH1_BKD_MEAN = Cy3 background mean signal
#CH2_SIG_MEAN = Cy5 mean signal
#CH2_BKD_MEAN = Cy5 background mean signal
!sample_table_begin
ID_REF	VALUE	CH1_SIG_MEAN	CH1_BKD_MEAN	CH2_SIG_MEAN	CH2_BKD_MEAN
A_16_P41927841	-1.72E-01	6.92E+01	4.79E+01	7.82E+01	6.09E+01
A_16_P41926946	3.11E-01	3.33E+02	4.59E+01	8.53E+02	6.16E+01
A_16_P41926895	2.11E-01	4.24E+02	4.89E+01	8.92E+02	6.13E+01
A_16_P41926649	6.13E-01	5.65E+02	5.07E+01	2.95E+03	6.25E+01
A_16_P41926441	3.91E-01	2.30E+02	4.33E+01	6.77E+02	6.16E+01
A_16_P41926413	2.98E-01	1.40E+02	4.70E+01	3.05E+02	5.63E+01
A_16_P41926409	3.30E-01	3.04E+02	4.81E+01	7.89E+02	6.29E+01
A_16_P41926304	3.95E-01	2.04E+02	4.76E+01	5.54E+02	6.33E+01
A_16_P41926295	2.83E-01	2.57E+02	4.76E+01	6.14E+02	6.82E+01
A_16_P41926256	1.97E-01	3.17E+02	4.85E+01	6.28E+02	6.44E+01
A_16_P41926184	3.31E-01	8.12E+02	4.82E+01	2.32E+03	6.21E+01
A_16_P41926168	4.35E-01	2.95E+02	4.86E+01	9.70E+02	5.91E+01
A_16_P41925901	-2.98E-02	3.48E+02	4.65E+01	4.55E+02	5.93E+01
A_16_P41925894	-2.76E-01	1.34E+03	4.82E+01	1.03E+03	5.90E+01
A_16_P41925738	8.22E-03	1.23E+03	4.90E+01	1.74E+03	6.42E+01
A_16_P41925225	-7.73E-02	6.53E+02	4.72E+01	7.62E+02	6.16E+01
A_16_P41924544	-1.87E-01	2.26E+02	4.94E+01	2.22E+02	6.34E+01
A_16_P41924487	-5.61E-01	2.20E+02	4.99E+01	1.32E+02	6.07E+01
A_16_P41924454	-4.19E-01	2.63E+03	4.74E+01	1.45E+03	5.60E+01
A_16_P41924450	-3.74E-01	1.71E+03	4.88E+01	1.05E+03	6.10E+01
!sample_table_end
