^SAMPLE = GSM552526
!Sample_title = Malignant mesothelioma, Y-MESO-12
!Sample_geo_accession = GSM552526
!Sample_status = Public on Jun 15 2010
!Sample_submission_date = Jun 08 2010
!Sample_last_update_date = Jun 09 2010
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Pooled normal genomic DNA, Female
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = sample type: Normal human genomic DNA purchased from Promega
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = DNA was prepared by standard techniques.
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = The samples were labeled using the Agilent Genomic DNA Labeling Kit PLUS according to manufacture's instructions. DNA was fragmented using restriction enzymes. Random hexamers were used to prim an Exo-Klenow fragment DNA polymerase reaction incorporating CyDye labeled dUTP.
!Sample_source_name_ch2 = Y-MESO-12 genomic DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = cell line: Human malignant pleural mesothelioma cell line, Y-MESO-12
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = DNA was prepared by standard techniques.
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = The samples were labeled using the Agilent Genomic DNA Labeling Kit PLUS according to manufacture's instructions. DNA was fragmented using restriction enzymes. Random hexamers were used to prim an Exo-Klenow fragment DNA polymerase reaction incorporating CyDye labeled dUTP.
!Sample_hyb_protocol = The samples were hybridized for 40 hours using Agilent Oligo aCGH Hybridization Kit according to the manufacture's instructions.
!Sample_scan_protocol = Arrays were scanned on an Agilent carousel scanner following manufacture's instructions. Agilent Feature Extraction software was used to extract the data.
!Sample_description = Malignant mesotehlioma cell line
!Sample_data_processing = Agilent Feature Extraction software
!Sample_platform_id = GPL9128
!Sample_contact_name = Hideki,,Murakami
!Sample_contact_email = hmurakami@aichi-cc.jp
!Sample_contact_phone = +81-52-764-2993
!Sample_contact_fax = +81-52-764-2993
!Sample_contact_department = Division of Molecular Oncology
!Sample_contact_institute = Aichi Cancer Center Institute
!Sample_contact_address = 1-1 Kanokoden Chukusa-ku
!Sample_contact_city = Nagoya
!Sample_contact_state = Aichi
!Sample_contact_zip/postal_code = 464-8681
!Sample_contact_country = Japan
!Sample_supplementary_file = NONE
!Sample_series_id = GSE22237
!Sample_data_row_count = 236385
#ID_REF = 
#VALUE = normalized log10 ratio Cy5/Cy3
#CH1_SIG_MEAN = Cy3 Mean signal
#CH1_BKD_MEAN = Cy3 background Mean signal
#CH2_SIG_MEAN = Cy5 Mean signal
#CH2_BKD_MEAN = Cy5 background Mean signal
!sample_table_begin
ID_REF	VALUE	CH1_SIG_MEAN	CH1_BKD_MEAN	CH2_SIG_MEAN	CH2_BKD_MEAN
A_14_P100000	5.06E-02	3.83E+02	4.63E+01	4.79E+02	5.82E+01
A_14_P100001	2.49E-02	3.94E+02	4.12E+01	4.81E+02	6.22E+01
A_14_P100002	5.11E-04	5.05E+02	4.88E+01	5.83E+02	6.44E+01
A_14_P100003	-8.48E-02	2.79E+02	4.43E+01	2.94E+02	6.63E+01
A_14_P100005	-2.50E-02	5.06E+02	5.02E+01	5.47E+02	6.19E+01
A_14_P100006	1.11E-01	2.57E+02	4.09E+01	3.67E+02	6.33E+01
A_14_P100007	-2.14E-01	2.46E+02	4.19E+01	2.13E+02	6.00E+01
A_14_P100008	5.95E-02	2.62E+02	4.96E+01	3.47E+02	6.32E+01
A_14_P100009	-4.04E-02	4.70E+02	4.84E+01	5.09E+02	6.30E+01
A_14_P100010	2.42E-01	3.80E+02	4.47E+01	7.09E+02	6.67E+01
A_14_P100011	8.56E-02	3.59E+02	4.95E+01	4.83E+02	6.38E+01
A_14_P100012	2.87E-02	2.83E+02	4.19E+01	3.50E+02	5.81E+01
A_14_P100013	2.78E-02	5.67E+02	4.57E+01	6.91E+02	6.33E+01
A_14_P100014	1.58E-01	1.45E+02	4.72E+01	2.21E+02	6.20E+01
A_14_P100015	3.19E-01	3.10E+02	4.08E+01	6.61E+02	6.04E+01
A_14_P100016	1.56E-01	3.23E+02	4.70E+01	5.20E+02	6.94E+01
A_14_P100017	1.57E-01	3.77E+02	4.13E+01	5.96E+02	5.69E+01
A_14_P100018	2.18E-01	4.88E+02	4.69E+01	8.63E+02	6.10E+01
A_14_P100019	-3.68E-02	6.72E+02	4.69E+01	7.27E+02	6.23E+01
A_14_P100020	-1.96E-01	3.60E+02	4.74E+01	2.98E+02	6.35E+01
!sample_table_end
