^SAMPLE = GSM551967
!Sample_title = Malignant mesothelioma, ACC-MESO-1
!Sample_geo_accession = GSM551967
!Sample_status = Public on Jun 15 2010
!Sample_submission_date = Jun 06 2010
!Sample_last_update_date = Jun 09 2010
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Pooled normal genomic DNA, Female
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = sample type: Normal human genomic DNA purchased from Promega
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = DNA was prepared by standard techniques.
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = The samples were labeled using the Agilent Genomic DNA Labeling Kit PLUS according to manufacture's instructions. DNA was fragmented using restriction enzymes. Random hexamers were used to prim an Exo-Klenow fragment DNA polymerase reaction incorporating CyDye labeled dUTP.
!Sample_source_name_ch2 = ACC-MESO-1 genomic DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = cell line: Human malignant pleural mesothelioma cell line, ACC-MESO-1
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = DNA was prepared by standard techniques.
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = The samples were labeled using the Agilent Genomic DNA Labeling Kit PLUS according to manufacture's instructions. DNA was fragmented using restriction enzymes. Random hexamers were used to prim an Exo-Klenow fragment DNA polymerase reaction incorporating CyDye labeled dUTP.
!Sample_hyb_protocol = The samples were hybridized for 40 hours using Agilent Oligo aCGH Hybridization Kit according to the manufacture's instructions.
!Sample_scan_protocol = Arrays were scanned on an Agilent carousel scanner following manufacture's instructions. Agilent Feature Extraction software was used to extract the data.
!Sample_description = Malignant mesotehlioma cell line
!Sample_data_processing = Agilent Feature Extraction software
!Sample_platform_id = GPL9128
!Sample_contact_name = Hideki,,Murakami
!Sample_contact_email = hmurakami@aichi-cc.jp
!Sample_contact_phone = +81-52-764-2993
!Sample_contact_fax = +81-52-764-2993
!Sample_contact_department = Division of Molecular Oncology
!Sample_contact_institute = Aichi Cancer Center Institute
!Sample_contact_address = 1-1 Kanokoden Chukusa-ku
!Sample_contact_city = Nagoya
!Sample_contact_state = Aichi
!Sample_contact_zip/postal_code = 464-8681
!Sample_contact_country = Japan
!Sample_supplementary_file = NONE
!Sample_series_id = GSE22237
!Sample_data_row_count = 236385
#ID_REF = 
#VALUE = normalized log10 ratio Cy5/Cy3
#CH1_SIG_MEAN = Cy3 Mean Signal
#CH1_BKD_MEAN = Cy3 background Mean Signal
#CH2_SIG_MEAN = Cy5 Mean Signal
#CH2_BKD_MEAN = Cy5 background Mean Signal
!sample_table_begin
ID_REF	VALUE	CH1_SIG_MEAN	CH1_BKD_MEAN	CH2_SIG_MEAN	CH2_BKD_MEAN
A_14_P100000	-0.125142623	407.3438	45.09677	284.5625	58.09677
A_14_P100001	0.016961663	433.7302	46.11538	394.381	60.15385
A_14_P100002	0.073059061	803.2586	48	816.0345	60.46667
A_14_P100003	-0.347322994	287.6129	43.5086	162.5161	63.95602
A_14_P100005	0.04893509	442.0923	47.17241	427.2308	60.65517
A_14_P100006	0.130686018	261.303	47.14286	296.7121	59.42857
A_14_P100007	-0.068955832	296.1094	46.90625	238	60.53125
A_14_P100008	-0.111971905	372.4531	47.29412	277.0938	63.41176
A_14_P100009	0.019689436	468.7097	47	436.0484	60
A_14_P100010	0.040127188	312.1231	47.33333	303.4923	66.3
A_14_P100011	0.111337359	578.6154	47.69231	630.4923	59
A_14_P100012	-0.042072968	296.6769	44.4	247.3385	60.04
A_14_P100013	0.063267648	514.0164	46.33333	512.7377	65.26667
A_14_P100014	0.090129891	175.918	50.03571	193.7705	62.07143
A_14_P100015	0.23990167	336.75	49.6	469.9375	64.26667
A_14_P100016	0.118469331	305.6984	44.48387	351.7143	63.19355
A_14_P100017	0.080528938	312.0161	46.46154	322.8387	66.19231
A_14_P100018	0.230386209	574.1905	44.64286	798.1905	59.82143
A_14_P100019	-0.004625221	674.0323	48.48276	593.1613	63.34483
A_14_P100020	-0.093149917	383.9206	50.25	290.6667	59.08333
!sample_table_end
