^SAMPLE = GSM551968
!Sample_title = Malignant mesothelioma, ACC-MESO-4
!Sample_geo_accession = GSM551968
!Sample_status = Public on Jun 15 2010
!Sample_submission_date = Jun 07 2010
!Sample_last_update_date = Jun 09 2010
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Pooled normal genomic DNA, Male
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = sample type: Normal human genomic DNA purchased from Promega
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = DNA was prepared by standard techniques.
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = The samples were labeled using the Agilent Genomic DNA Labeling Kit PLUS according to manufacture's instructions. DNA was fragmented using restriction enzymes. Random hexamers were used to prim an Exo-Klenow fragment DNA polymerase reaction incorporating CyDye labeled dUTP
!Sample_source_name_ch2 = ACC-MESO-4 genomic DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = cell line: Human malignant pleural mesothelioma cell line, ACC-MESO-4
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = DNA was prepared by standard techniques.
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = The samples were labeled using the Agilent Genomic DNA Labeling Kit PLUS according to manufacture's instructions. DNA was fragmented using restriction enzymes. Random hexamers were used to prim an Exo-Klenow fragment DNA polymerase reaction incorporating CyDye labeled dUTP.
!Sample_hyb_protocol = The samples were hybridized for 40 hours using Agilent Oligo aCGH Hybridization Kit according to the manufacture's instructions.
!Sample_scan_protocol = Arrays were scanned on an Agilent carousel scanner following manufacture's instructions. Agilent Feature Extraction software was used to extract the data.
!Sample_description = Malignant mesotehlioma cell line
!Sample_data_processing = Agilent Feature Extraction software
!Sample_platform_id = GPL9128
!Sample_contact_name = Hideki,,Murakami
!Sample_contact_email = hmurakami@aichi-cc.jp
!Sample_contact_phone = +81-52-764-2993
!Sample_contact_fax = +81-52-764-2993
!Sample_contact_department = Division of Molecular Oncology
!Sample_contact_institute = Aichi Cancer Center Institute
!Sample_contact_address = 1-1 Kanokoden Chukusa-ku
!Sample_contact_city = Nagoya
!Sample_contact_state = Aichi
!Sample_contact_zip/postal_code = 464-8681
!Sample_contact_country = Japan
!Sample_supplementary_file = NONE
!Sample_series_id = GSE22237
!Sample_data_row_count = 236385
#ID_REF = 
#VALUE = normalized log10 ratio Cy5/Cy3
#CH1_SIG_MEAN = Cy3 Mean Signal
#CH1_BKD_MEAN = Cy3 Background Mean Signal
#CH2_SIG_MEAN = Cy5 Mean Signal
#CH2_BKD_MEAN = Cy5 Backgound Mean Signal
!sample_table_begin
ID_REF	VALUE	CH1_SIG_MEAN	CH1_BKD_MEAN	CH2_SIG_MEAN	CH2_BKD_MEAN
A_14_P100000	-4.52E-01	4.46E+02	4.54E+01	1.36E+02	5.98E+01
A_14_P100001	2.90E-02	4.41E+02	4.58E+01	2.83E+02	6.10E+01
A_14_P100002	-9.79E-02	5.29E+02	4.70E+01	2.70E+02	6.05E+01
A_14_P100003	-5.17E-01	3.03E+02	4.20E+01	1.10E+02	6.37E+01
A_14_P100005	2.07E-01	5.81E+02	4.77E+01	5.14E+02	6.16E+01
A_14_P100006	1.13E-01	3.56E+02	4.36E+01	2.72E+02	6.25E+01
A_14_P100007	3.92E-02	2.58E+02	4.38E+01	1.80E+02	6.11E+01
A_14_P100008	-4.86E-01	2.81E+02	4.72E+01	1.07E+02	6.03E+01
A_14_P100009	-1.73E-01	4.86E+02	4.55E+01	2.25E+02	6.20E+01
A_14_P100010	4.61E-01	3.44E+02	4.18E+01	5.09E+02	6.33E+01
A_14_P100011	2.01E-01	4.02E+02	5.05E+01	3.55E+02	6.21E+01
A_14_P100012	-3.24E-01	3.43E+02	4.44E+01	1.36E+02	5.94E+01
A_14_P100013	-1.23E-01	7.01E+02	4.45E+01	3.32E+02	6.58E+01
A_14_P100014	-1.98E-01	1.52E+02	4.52E+01	1.00E+02	6.34E+01
A_14_P100015	1.80E-01	3.89E+02	4.60E+01	3.34E+02	6.38E+01
A_14_P100016	1.30E-01	3.13E+02	4.31E+01	2.56E+02	6.89E+01
A_14_P100017	3.98E-02	4.57E+02	4.43E+01	2.95E+02	5.92E+01
A_14_P100018	7.46E-02	5.05E+02	4.93E+01	3.45E+02	5.95E+01
A_14_P100019	6.21E-02	6.08E+02	4.63E+01	4.16E+02	6.32E+01
A_14_P100020	-2.01E-02	3.44E+02	4.76E+01	2.11E+02	6.13E+01
!sample_table_end
