^SAMPLE = GSM552535
!Sample_title = Malignant mesothelioma, Y-MESO-29
!Sample_geo_accession = GSM552535
!Sample_status = Public on Jun 15 2010
!Sample_submission_date = Jun 08 2010
!Sample_last_update_date = Jun 09 2010
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Pooled normal genomic DNA, Male
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = sample type: Normal human genomic DNA purchased from Promega
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = DNA was prepared by standard techniques.
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = The samples were labeled using the Agilent Genomic DNA Labeling Kit PLUS according to manufacture's instructions. DNA was fragmented using restriction enzymes. Random hexamers were used to prim an Exo-Klenow fragment DNA polymerase reaction incorporating CyDye labeled dUTP.
!Sample_source_name_ch2 = Y-MESO-29 genomic DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = cell line: Human malignant pleural mesothelioma cell line, Y-MESO-29
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = DNA was prepared by standard techniques.
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = The samples were labeled using the Agilent Genomic DNA Labeling Kit PLUS according to manufacture's instructions. DNA was fragmented using restriction enzymes. Random hexamers were used to prim an Exo-Klenow fragment DNA polymerase reaction incorporating CyDye labeled dUTP.
!Sample_hyb_protocol = The samples were hybridized for 40 hours using Agilent Oligo aCGH Hybridization Kit according to the manufacture's instructions.
!Sample_scan_protocol = Arrays were scanned on an Agilent carousel scanner following manufacture's instructions. Agilent Feature Extraction software was used to extract the data.
!Sample_description = Malignant mesotehlioma cell line
!Sample_data_processing = Agilent Feature Extraction software
!Sample_platform_id = GPL9128
!Sample_contact_name = Hideki,,Murakami
!Sample_contact_email = hmurakami@aichi-cc.jp
!Sample_contact_phone = +81-52-764-2993
!Sample_contact_fax = +81-52-764-2993
!Sample_contact_department = Division of Molecular Oncology
!Sample_contact_institute = Aichi Cancer Center Institute
!Sample_contact_address = 1-1 Kanokoden Chukusa-ku
!Sample_contact_city = Nagoya
!Sample_contact_state = Aichi
!Sample_contact_zip/postal_code = 464-8681
!Sample_contact_country = Japan
!Sample_supplementary_file = NONE
!Sample_series_id = GSE22237
!Sample_data_row_count = 236385
#ID_REF = 
#VALUE = normalized log10 ratio Cy5/Cy3
#CH1_SIG_MEAN = Cy3 mean signal
#CH1_BKD_MEAN = Cy3 background mean signal
#CH2_SIG_MEAN = Cy5 mean signal
#CH2_BKD_MEAN = Cy5 background mean signal
!sample_table_begin
ID_REF	VALUE	CH1_SIG_MEAN	CH1_BKD_MEAN	CH2_SIG_MEAN	CH2_BKD_MEAN
A_14_P100000	-5.67E-02	2.63E+02	3.75E+01	2.69E+02	5.89E+01
A_14_P100001	5.51E-02	2.51E+02	4.14E+01	3.17E+02	5.84E+01
A_14_P100002	1.47E-01	4.25E+02	4.53E+01	6.51E+02	5.60E+01
A_14_P100003	-8.08E-02	1.74E+02	4.24E+01	1.87E+02	6.57E+01
A_14_P100005	1.08E-01	3.36E+02	4.16E+01	4.70E+02	6.35E+01
A_14_P100006	-8.98E-02	3.36E+02	4.27E+01	3.22E+02	5.49E+01
A_14_P100007	-1.31E-01	1.93E+02	3.92E+01	1.85E+02	6.45E+01
A_14_P100008	-8.24E-02	2.24E+02	4.27E+01	2.30E+02	6.36E+01
A_14_P100009	-1.92E-01	4.55E+02	4.30E+01	3.59E+02	5.96E+01
A_14_P100010	2.86E-02	2.94E+02	3.89E+01	3.68E+02	5.34E+01
A_14_P100011	-7.77E-02	3.07E+02	4.22E+01	3.03E+02	5.89E+01
A_14_P100012	-2.04E-01	1.74E+02	4.09E+01	1.51E+02	6.64E+01
A_14_P100013	-8.72E-03	4.66E+02	4.04E+01	5.19E+02	5.93E+01
A_14_P100014	1.94E-01	1.24E+02	4.44E+01	1.95E+02	6.09E+01
A_14_P100015	3.25E-01	2.55E+02	4.08E+01	5.63E+02	5.63E+01
A_14_P100016	1.58E-02	2.87E+02	4.23E+01	3.46E+02	6.40E+01
A_14_P100017	1.24E-01	2.78E+02	4.18E+01	3.99E+02	5.68E+01
A_14_P100018	-4.68E-02	4.10E+02	4.80E+01	4.22E+02	6.20E+01
A_14_P100019	-3.91E-01	5.45E+02	4.50E+01	2.90E+02	6.35E+01
A_14_P100020	7.82E-02	2.97E+02	4.39E+01	3.92E+02	5.43E+01
!sample_table_end
