^SAMPLE = GSM77536
!Sample_title = 2EP17
!Sample_geo_accession = GSM77536
!Sample_status = Public on Apr 14 2006
!Sample_submission_date = Oct 11 2005
!Sample_last_update_date = Apr 13 2006
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Pooled reference DNA from either 4 healthy males or females of the opposite sex compared to the sample.
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = 635nm
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy5
!Sample_source_name_ch2 = Isolated tumor DNA, derived from ependymal tumors.
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = 532nm
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy3
!Sample_description = Comparison of normal versus tumor DNA (ependymoma). Whole-genome screening of DNA-copy number changes by array-based or matrix comparative genomic hybridization (matrix-CGH).
!Sample_data_processing = Genepix result files
!Sample_platform_id = GPL2920
!Sample_contact_name = Frank,,Mendrzyk
!Sample_contact_email = f.mendrzyk@dkfz.de
!Sample_contact_phone = 49-6221-424676
!Sample_contact_institute = German Cancer Research Center (DKFZ)
!Sample_contact_address =  
!Sample_contact_city = Heidelberg
!Sample_contact_zip/postal_code = 69120
!Sample_contact_country = Germany
!Sample_supplementary_file = NONE
!Sample_series_id = GSE3435
!Sample_data_row_count = 19395
#ID_REF = 
#VALUE = Raw log ratio (Cy5/Cy3).
#CH1_RAW = Raw median signal intensity in Cy5-channel (635nm).
#CH1_MEAN = Raw mean signal intensity in Cy5-channel (635nm).
#CH1_SD = Signal intensity standard deviation in Cy5-channel (635nm).
#CH1_BKD_RAW = Raw median background intensity in Cy5-channel (635nm).
#CH1_BKD_MEAN = Raw mean background intensity in Cy5-channel (635nm).
#CH1_BKD_SD = Background intensity standard deviation in Cy5-channel (635nm).
#CH1_AREA = Signal area in Cy5-channel (635nm).
#CH1_BKD_AREA = Background area in Cy5-channel (635nm).
#CH2_RAW = Raw median signal intensity in Cy3-channel (532nm).
#CH2_MEAN = Raw mean signal intensity in Cy3-channel (532nm).
#CH2_SD = Signal intensity standard deviation in Cy3-channel (532nm).
#CH2_BKD_RAW = Raw median background intensity in Cy3-channel (532nm).
#CH2_BKD_MEAN = Raw mean background intensity in Cy3-channel (532nm).
#CH2_BKD_SD = Background intensity standard deviation in Cy3-channel (532nm).
#CH2_AREA = Signal area in Cy3-channel (532nm).
#CH2_BKD_AREA = Background area in Cy3-channel (532nm).
!sample_table_begin
ID_REF	VALUE	CH1_RAW	CH1_MEAN	CH1_SD	CH1_BKD_RAW	CH1_BKD_MEAN	CH1_BKD_SD	CH1_AREA	CH1_BKD_AREA	CH2_RAW	CH2_MEAN	CH2_SD	CH2_BKD_RAW	CH2_BKD_MEAN	CH2_BKD_SD	CH2_AREA	CH2_BKD_AREA
G000001-1	-0.001	3301	3367	910	337	351	121	52	340	3306	3257	906	339	347	102	52	340
G000001-2	0.26	2817	3410	3173	394	1397	4906	80	541	2369	2812	1872	346	626	1798	80	541
G000001-3	0.26	3180	2928	1665	495	1941	5307	80	621	2606	2408	1493	364	767	2440	80	621
G000002-1	0.239	12009	9804	5163	372	687	2729	80	534	10148	7829	4963	289	392	977	80	534
G000002-2	0.15	9232	8586	2614	347	369	158	52	420	8303	7862	2128	295	304	97	52	420
G000002-3	0.221	9079	8921	2883	350	371	129	52	340	7792	8192	2586	302	308	98	52	340
G000003-1	0.238	7051	6554	1604	350	357	122	52	340	5975	5724	1282	294	303	94	52	340
G000003-2	0.205	6152	6240	1757	339	346	114	52	340	5343	5461	1534	300	305	96	52	340
G000003-3	0.14	5773	5403	1475	358	370	124	52	340	5273	5214	1112	358	372	173	52	340
G000004-1	0.155	7970	7472	2789	288	302	130	52	340	7170	6745	2295	270	283	109	52	340
G000004-2	0.112	8152	7877	1955	294	305	119	52	340	7548	7048	1759	278	296	172	52	340
G000004-3	0.188	7751	7307	2579	313	334	147	52	340	6847	6483	2050	318	356	248	52	340
G000005-1	0.324	10336	9791	2564	295	299	99	52	340	8314	7791	1988	292	299	103	52	340
G000005-2	0.458	8568	8951	2253	326	330	116	52	334	6350	6779	1695	351	382	160	52	334
G000005-3	0.226	8298	8559	2578	319	331	140	52	340	7138	6851	2059	316	344	205	52	340
G000006-1	0.197	12444	12104	3677	292	312	132	120	666	10869	10529	3091	270	278	93	120	666
G000006-2	0.256	11876	11649	2158	310	328	137	120	637	9986	9714	2201	303	322	147	120	637
G000006-3	0.234	12392	12090	2125	324	334	123	120	689	10580	10262	2190	322	342	169	120	689
G000007-1	0.069	6397	6253	1676	358	433	545	52	340	6102	5989	1473	346	359	151	52	340
G000007-2	0.264	7548	7179	1471	347	362	124	52	340	6335	6197	1701	337	343	105	52	340
!sample_table_end
