^SAMPLE = GSM77089
!Sample_title = 1EP2
!Sample_geo_accession = GSM77089
!Sample_status = Public on Apr 14 2006
!Sample_submission_date = Oct 06 2005
!Sample_last_update_date = Apr 13 2006
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Pooled reference DNA from either 4 healthy males or females of the opposite sex compared to the sample.
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = 635nm
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy5
!Sample_source_name_ch2 = Isolated tumor DNA, derived from ependymal tumors.
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = 532nm
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy3
!Sample_description = Comparison of normal versus tumor DNA (ependymoma). Whole-genome screening of DNA-copy number changes by array-based or matrix comparative genomic hybridization (matrix-CGH).
!Sample_data_processing = Genepix result files
!Sample_platform_id = GPL2920
!Sample_contact_name = Frank,,Mendrzyk
!Sample_contact_email = f.mendrzyk@dkfz.de
!Sample_contact_phone = 49-6221-424676
!Sample_contact_institute = German Cancer Research Center (DKFZ)
!Sample_contact_address =  
!Sample_contact_city = Heidelberg
!Sample_contact_zip/postal_code = 69120
!Sample_contact_country = Germany
!Sample_supplementary_file = NONE
!Sample_series_id = GSE3435
!Sample_data_row_count = 19395
#ID_REF = 
#VALUE = Raw log ratio (Cy5/Cy3).
#CH1_RAW = Raw median signal intensity in Cy5-channel (635nm).
#CH1_MEAN = Raw mean signal intensity in Cy5-channel (635nm).
#CH1_SD = Signal intensity standard deviation in Cy5-channel (635nm).
#CH1_BKD_RAW = Raw median background intensity in Cy5-channel (635nm).
#CH1_BKD_MEAN = Raw mean background intensity in Cy5-channel (635nm).
#CH1_BKD_SD = Background intensity standard deviation in Cy5-channel (635nm).
#CH1_AREA = Signal area in Cy5-channel (635nm).
#CH1_BKD_AREA = Background area in Cy5-channel (635nm).
#CH2_RAW = Raw median signal intensity in Cy3-channel (532nm).
#CH2_MEAN = Raw mean signal intensity in Cy3-channel (532nm).
#CH2_SD = Signal intensity standard deviation in Cy3-channel (532nm).
#CH2_BKD_RAW = Raw median background intensity in Cy3-channel (532nm).
#CH2_BKD_MEAN = Raw mean background intensity in Cy3-channel (532nm).
#CH2_BKD_SD = Background intensity standard deviation in Cy3-channel (532nm).
#CH2_AREA = Signal area in Cy3-channel (532nm).
#CH2_BKD_AREA = Background area in Cy3-channel (532nm).
!sample_table_begin
ID_REF	VALUE	CH1_RAW	CH1_MEAN	CH1_SD	CH1_BKD_RAW	CH1_BKD_MEAN	CH1_BKD_SD	CH1_AREA	CH1_BKD_AREA	CH2_RAW	CH2_MEAN	CH2_SD	CH2_BKD_RAW	CH2_BKD_MEAN	CH2_BKD_SD	CH2_AREA	CH2_BKD_AREA
G000001-1	0.62	1582	1583	756	465	478	185	80	548	1095	1231	634	368	383	138	80	548
G000001-2	0.51	1837	1909	803	488	497	198	52	420	1338	1467	686	391	410	227	52	420
G000001-3	0.477	1661	1758	663	475	496	166	52	420	1240	1279	465	388	401	133	52	420
G000002-1	0.2	15273	14179	4411	412	460	277	52	420	13295	12959	3441	360	421	376	52	420
G000002-2	0.205	13780	13191	3787	420	449	187	52	420	11968	11927	3313	378	404	203	52	420
G000002-3	0.184	12992	12700	2613	435	479	298	52	340	11437	10806	2800	381	411	191	52	340
G000003-1	0.16	7433	7384	1458	408	421	155	52	340	6620	6214	1587	334	356	136	52	340
G000003-2	0.099	7520	7559	2611	404	421	140	52	340	6972	6913	2070	328	346	127	52	340
G000003-3	0.131	7228	7109	2148	400	425	156	52	340	6571	6493	1616	334	352	131	52	340
G000004-1	0.141	9807	9434	3378	361	389	218	52	420	8862	8562	2905	293	323	197	52	420
G000004-2	0.209	10004	10087	2684	378	402	208	52	340	8624	8884	3142	299	329	172	52	340
G000004-3	0.099	10211	10808	2310	381	423	226	52	340	9477	9724	2520	300	334	197	52	340
G000005-1	0.242	12376	12444	3267	368	389	172	52	420	10435	10925	2468	280	294	123	52	420
G000005-2	0.258	11920	12331	2627	373	408	432	52	420	9938	9893	2427	283	303	160	52	420
G000005-3	0.324	13424	13281	2354	366	388	182	52	420	10727	11290	2189	294	324	175	52	420
G000006-1	0.122	12581	11894	3642	317	326	118	120	690	11563	11099	3632	290	300	155	120	690
G000006-2	0.082	11949	11469	3403	321	336	148	120	776	11265	10569	3470	276	290	149	120	776
G000006-3	0.089	12342	11606	3003	320	340	242	120	735	11572	10815	3441	267	280	111	120	735
G000007-1	0.294	10081	10419	1987	428	449	147	52	340	8237	8620	1787	362	376	129	52	340
G000007-2	0.33	9759	10175	2126	442	459	160	52	420	7777	7893	1925	363	375	126	52	420
!sample_table_end
