^SAMPLE = GSM77540
!Sample_title = 2EP21
!Sample_geo_accession = GSM77540
!Sample_status = Public on Apr 14 2006
!Sample_submission_date = Oct 11 2005
!Sample_last_update_date = Apr 13 2006
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Pooled reference DNA from either 4 healthy males or females of the opposite sex compared to the sample.
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = 635nm
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy5
!Sample_source_name_ch2 = Isolated tumor DNA, derived from ependymal tumors.
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = 532nm
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy3
!Sample_description = Comparison of normal versus tumor DNA (ependymoma). Whole-genome screening of DNA-copy number changes by array-based or matrix comparative genomic hybridization (matrix-CGH).
!Sample_data_processing = Genepix result files
!Sample_platform_id = GPL2920
!Sample_contact_name = Frank,,Mendrzyk
!Sample_contact_email = f.mendrzyk@dkfz.de
!Sample_contact_phone = 49-6221-424676
!Sample_contact_institute = German Cancer Research Center (DKFZ)
!Sample_contact_address =  
!Sample_contact_city = Heidelberg
!Sample_contact_zip/postal_code = 69120
!Sample_contact_country = Germany
!Sample_supplementary_file = NONE
!Sample_series_id = GSE3435
!Sample_data_row_count = 19395
#ID_REF = 
#VALUE = Raw log ratio (Cy5/Cy3).
#CH1_RAW = Raw median signal intensity in Cy5-channel (635nm).
#CH1_MEAN = Raw mean signal intensity in Cy5-channel (635nm).
#CH1_SD = Signal intensity standard deviation in Cy5-channel (635nm).
#CH1_BKD_RAW = Raw median background intensity in Cy5-channel (635nm).
#CH1_BKD_MEAN = Raw mean background intensity in Cy5-channel (635nm).
#CH1_BKD_SD = Background intensity standard deviation in Cy5-channel (635nm).
#CH1_AREA = Signal area in Cy5-channel (635nm).
#CH1_BKD_AREA = Background area in Cy5-channel (635nm).
#CH2_RAW = Raw median signal intensity in Cy3-channel (532nm).
#CH2_MEAN = Raw mean signal intensity in Cy3-channel (532nm).
#CH2_SD = Signal intensity standard deviation in Cy3-channel (532nm).
#CH2_BKD_RAW = Raw median background intensity in Cy3-channel (532nm).
#CH2_BKD_MEAN = Raw mean background intensity in Cy3-channel (532nm).
#CH2_BKD_SD = Background intensity standard deviation in Cy3-channel (532nm).
#CH2_AREA = Signal area in Cy3-channel (532nm).
#CH2_BKD_AREA = Background area in Cy3-channel (532nm).
!sample_table_begin
ID_REF	VALUE	CH1_RAW	CH1_MEAN	CH1_SD	CH1_BKD_RAW	CH1_BKD_MEAN	CH1_BKD_SD	CH1_AREA	CH1_BKD_AREA	CH2_RAW	CH2_MEAN	CH2_SD	CH2_BKD_RAW	CH2_BKD_MEAN	CH2_BKD_SD	CH2_AREA	CH2_BKD_AREA
G000001-1	-0.032	3398	3293	1324	426	1240	4586	52	340	3310	3315	1218	271	538	1880	52	340
G000001-2	-0.29	3136	2959	1069	481	1890	5295	52	420	3555	3294	1356	309	746	2612	52	420
G000001-3	-0.141	2926	3026	2301	462	1077	3418	80	546	3017	2932	1991	300	441	925	80	546
G000002-1	-0.225	10661	9980	3723	326	337	114	52	420	12348	11734	3625	270	282	91	52	420
G000002-2	-0.234	10121	9636	2644	349	368	121	52	340	11770	11408	3350	281	286	90	52	340
G000002-3	-0.59	8642	8277	2281	396	404	128	52	340	12713	12399	2721	303	310	93	52	340
G000003-1	-0.151	6748	6061	1994	294	303	105	52	340	7457	6827	2379	291	304	90	52	340
G000003-2	-0.131	6900	6237	2175	272	292	129	52	340	7569	7149	2379	309	316	99	52	340
G000003-3	-0.286	6088	6238	1929	297	301	106	52	340	7377	7266	2223	318	328	95	52	340
G000004-1	-0.157	9679	8931	2409	253	319	763	52	340	10885	9764	3167	373	391	204	52	340
G000004-2	-0.296	7843	7152	2110	263	319	758	52	340	9748	9271	2883	444	468	196	52	340
G000004-3	-0.284	8796	8474	2369	265	276	101	52	340	10857	10349	3323	472	477	121	52	340
G000005-1	-0.058	11901	11333	4191	277	281	101	52	420	12428	11587	4021	325	332	98	52	420
G000005-2	-0.111	10600	10283	2143	266	268	92	52	340	11593	11086	3091	436	449	143	52	340
G000005-3	-0.025	9431	9695	2276	258	276	100	52	340	9873	10551	2589	542	549	131	52	340
G000006-1	-0.204	13946	13740	4733	284	297	107	120	667	15998	15640	5164	258	269	110	120	667
G000006-2	-0.193	14462	13860	4640	284	291	103	120	645	16469	15802	5165	260	271	105	120	645
G000006-3	-0.212	14044	13361	3070	266	277	102	120	589	16232	15257	3823	273	281	93	120	589
G000007-1	-0.024	7875	7512	7162	413	710	2702	80	540	7875	6464	4731	288	329	442	80	540
G000007-2	-0.146	7482	7241	2229	366	614	3120	52	340	8160	8042	2180	288	327	516	52	340
!sample_table_end
