^SAMPLE = GSM38672
!Sample_title = 2M1 Cy3
!Sample_geo_accession = GSM38672
!Sample_status = Public on Nov 30 2005
!Sample_submission_date = Jan 10 2005
!Sample_last_update_date = Oct 06 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Pooled reference DNA from either 4 healthy males or females of the opposite sex compared to the sample.
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_molecule_ch1 = genomic DNA
!Sample_source_name_ch2 = Isolated tumor DNA, derived from cerebellar medulloblastoma.
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_molecule_ch2 = genomic DNA
!Sample_description = Comparison of normal versus tumor DNA (medulloblastoma). Whole-genome screening of DNA-copy number changes by array-based or matrix comparative genomic hybridization (matrix-CGH). Every experiment was performed as dye-swap.
!Sample_platform_id = GPL1432
!Sample_contact_name = Frank,,Mendrzyk
!Sample_contact_email = f.mendrzyk@dkfz.de
!Sample_contact_phone = 49-6221-424676
!Sample_contact_institute = German Cancer Research Center (DKFZ)
!Sample_contact_address =  
!Sample_contact_city = Heidelberg
!Sample_contact_zip/postal_code = 69120
!Sample_contact_country = Germany
!Sample_supplementary_file = NONE
!Sample_series_id = GSE2139
!Sample_data_row_count = 19311
#ID_REF =  
#Block = In which block a single spot is localized. The block count starts from the left top to the right hand side and ends at the right bottom of the slide.
#Column = In which column a single spot is localized. The count starts from the left top downwards and ends at the right bottom of a single block (Y-direction).
#Row = In which row a single spot is localized. The count starts from the left top to the right hand side and ends at the right bottom of a single block (X-direction).
#VALUE = Raw log ratio (Cy5/Cy3).
#CH1_RAW = Raw median signal intensity in Cy5-channel (635nm).
#CH1_MEAN = Raw mean signal intensity in Cy5-channel (635nm).
#CH1_SD = Signal intensity standard deviation in Cy5-channel (635nm).
#CH1_BKD_RAW = Raw median background intensity in Cy5-channel (635nm).
#CH1_BKD_MEAN = Raw mean background intensity in Cy5-channel (635nm).
#CH1_BKD_SD = Background intensity standard deviation in Cy5-channel (635nm).
#CH1_AREA = Signal area in Cy5-channel (635nm).
#CH1_BKD_AREA = Background area in Cy5-channel (635nm).
#CH2_RAW = Raw median signal intensity in Cy3-channel (532nm).
#CH2_MEAN = Raw mean signal intensity in Cy3-channel (532nm).
#CH2_SD = Signal intensity standard deviation in Cy3-channel (532nm).
#CH2_BKD_RAW = Raw median background intensity in Cy3-channel (532nm).
#CH2_BKD_MEAN = Raw mean background intensity in Cy3-channel (532nm).
#CH2_BKD_SD = Background intensity standard deviation in Cy3-channel (532nm).
#CH2_AREA = Signal area in Cy3-channel (532nm).
#CH2_BKD_AREA = Background area in Cy3-channel (532nm).
!sample_table_begin
ID_REF	Block	Column	Row	VALUE	CH1_RAW	CH1_MEAN	CH1_SD	CH1_BKD_RAW	CH1_BKD_MEAN	CH1_BKD_SD	CH1_AREA	CH1_BKD_AREA	CH2_RAW	CH2_MEAN	CH2_SD	CH2_BKD_RAW	CH2_BKD_MEAN	CH2_BKD_SD	CH2_AREA	CH2_BKD_AREA
G000001-1	4	19	1	0.112	5106	4888	2287	413	426	104	52	340	4585	4573	2121	244	248	54	52	340
G000001-2	4	20	1	0.088	6497	6436	1393	398	427	146	32	236	5978	5901	1349	240	249	88	32	236
G000001-3	4	21	1	-0.004	6405	6197	1903	398	417	134	32	236	6265	5895	1821	243	252	66	32	236
G000002-1	12	19	1	0.004	19800	19521	4595	383	399	172	52	340	19610	18709	5262	245	256	93	52	340
G000002-2	12	20	1	0.011	20157	18822	5672	387	429	574	52	340	19863	17738	6064	240	251	118	52	340
G000002-3	12	21	1	0.083	19639	19110	5308	377	384	79	52	340	18403	17705	4891	223	232	57	52	340
G000003-1	20	19	1	-0.014	12548	13086	4630	406	425	134	52	340	12515	12727	5145	256	271	105	52	340
G000003-2	20	20	1	-0.073	11643	12383	4217	403	411	102	52	340	12065	11796	4127	241	246	55	52	340
G000003-3	20	21	1	0.117	11837	11344	4146	373	383	89	52	340	10799	10544	4146	229	231	55	52	340
G000004-1	28	19	1	0.064	23271	22105	5220	383	580	2452	52	340	22131	20852	5307	233	323	1489	52	340
G000004-2	28	20	1	0.092	21694	21340	4868	381	416	639	52	340	20216	19970	4640	225	231	88	52	340
G000004-3	28	21	1	0.02	23173	21863	5436	366	363	75	52	340	22717	21405	5028	220	220	48	52	340
G000005-1	36	19	1	0.087	39049	35577	14084	361	375	93	52	340	36663	33417	10406	228	232	56	52	340
G000005-2	36	20	1	0.171	37964	35774	9490	351	362	101	52	340	33627	32867	7472	219	227	61	52	340
G000005-3	36	21	1	0.081	35758	33687	12379	339	354	117	52	340	33708	30921	11970	212	218	54	52	340
G000006-1	44	19	1	0.041	21683	19881	7918	342	357	120	52	340	20959	19409	8474	223	234	129	52	340
G000006-2	44	20	1	0.032	19411	18602	8394	349	369	123	52	420	18861	17520	8533	211	223	81	52	420
G000006-3	44	21	1	-0.091	18789	18123	7548	346	361	111	52	420	19851	17882	8249	210	214	56	52	420
G000007-1	4	16	1	0.074	13015	13087	3998	396	420	131	52	340	12239	12719	3308	249	259	80	52	340
G000007-2	4	17	1	0.079	12331	12609	3271	415	431	118	52	340	11529	11799	3126	250	260	73	52	340
!sample_table_end
