^SAMPLE = GSM40971
!Sample_title = 2M18 Cy5
!Sample_geo_accession = GSM40971
!Sample_status = Public on Nov 30 2005
!Sample_submission_date = Feb 03 2005
!Sample_last_update_date = Oct 06 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Isolated tumor DNA, derived from cerebellar medulloblastoma.
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_molecule_ch1 = genomic DNA
!Sample_source_name_ch2 = Pooled reference DNA from either 4 healthy males or females of the opposite sex compared to the sample.
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_molecule_ch2 = genomic DNA
!Sample_description = Comparison of normal versus tumor DNA (medulloblastoma). Whole-genome screening of DNA-copy number changes by array-based or matrix comparative genomic hybridization (matrix-CGH). Every experiment was performed as dye-swap.
!Sample_platform_id = GPL1432
!Sample_contact_name = Frank,,Mendrzyk
!Sample_contact_email = f.mendrzyk@dkfz.de
!Sample_contact_phone = 49-6221-424676
!Sample_contact_institute = German Cancer Research Center (DKFZ)
!Sample_contact_address =  
!Sample_contact_city = Heidelberg
!Sample_contact_zip/postal_code = 69120
!Sample_contact_country = Germany
!Sample_supplementary_file = NONE
!Sample_series_id = GSE2139
!Sample_data_row_count = 19311
#ID_REF =  
#Block = In which block a single spot is localized. The block count starts from the left top to the right hand side and ends at the right bottom of the slide.
#Column = In which column a single spot is localized. The count starts from the left top downwards and ends at the right bottom of a single block (Y-direction).
#Row = In which row a single spot is localized. The count starts from the left top to the right hand side and ends at the right bottom of a single block (X-direction).
#VALUE = Raw log ratio (Cy5/Cy3).
#CH1_RAW = Raw median signal intensity in Cy5-channel (635nm).
#CH1_MEAN = Raw mean signal intensity in Cy5-channel (635nm).
#CH1_SD = Signal intensity standard deviation in Cy5-channel (635nm).
#CH1_BKD_RAW = Raw median background intensity in Cy5-channel (635nm).
#CH1_BKD_MEAN = Raw mean background intensity in Cy5-channel (635nm).
#CH1_BKD_SD = Background intensity standard deviation in Cy5-channel (635nm).
#CH1_AREA = Signal area in Cy5-channel (635nm).
#CH1_BKD_AREA = Background area in Cy5-channel (635nm).
#CH2_RAW = Raw median signal intensity in Cy3-channel (532nm).
#CH2_MEAN = Raw mean signal intensity in Cy3-channel (532nm).
#CH2_SD = Signal intensity standard deviation in Cy3-channel (532nm).
#CH2_BKD_RAW = Raw median background intensity in Cy3-channel (532nm).
#CH2_BKD_MEAN = Raw mean background intensity in Cy3-channel (532nm).
#CH2_BKD_SD = Background intensity standard deviation in Cy3-channel (532nm).
#CH2_AREA = Signal area in Cy3-channel (532nm).
#CH2_BKD_AREA = Background area in Cy3-channel (532nm).
!sample_table_begin
ID_REF	Block	Column	Row	VALUE	CH1_RAW	CH1_MEAN	CH1_SD	CH1_BKD_RAW	CH1_BKD_MEAN	CH1_BKD_SD	CH1_AREA	CH1_BKD_AREA	CH2_RAW	CH2_MEAN	CH2_SD	CH2_BKD_RAW	CH2_BKD_MEAN	CH2_BKD_SD	CH2_AREA	CH2_BKD_AREA
G000001-1	4	19	1	-0.67	2494	2319	758	317	324	79	52	340	3719	3356	1080	256	260	64	52	340
G000001-2	4	20	1	-0.502	2537	2382	743	306	308	72	52	340	3409	3242	1158	250	255	66	52	340
G000001-3	4	21	1	-0.649	2376	2242	777	287	293	66	52	340	3511	3206	1209	236	242	63	52	340
G000002-1	12	19	1	-0.029	12970	12047	3012	333	341	79	52	420	13181	12499	2782	283	286	76	52	420
G000002-2	12	20	1	-0.066	12675	12142	2775	335	353	189	52	420	13181	12502	3226	265	272	72	52	420
G000002-3	12	21	1	-0.039	12677	12086	3086	328	352	214	52	420	12953	12277	3141	266	270	74	52	420
G000003-1	20	19	1	-0.077	7142	6932	2048	377	397	174	52	415	7454	6859	2371	320	332	94	52	415
G000003-2	20	20	1	-0.032	6782	6524	1945	363	375	95	52	340	6868	6603	1923	305	312	84	52	340
G000003-3	20	21	1	-0.041	6323	5994	1655	356	364	83	52	340	6443	6006	1749	302	310	75	52	340
G000004-1	28	19	1	0.043	12084	11592	1904	356	362	93	52	420	11726	11251	2227	339	338	80	52	420
G000004-2	28	20	1	0.021	12242	11560	2502	357	366	93	52	340	12027	11328	2730	315	319	80	52	340
G000004-3	28	21	1	-0.008	11482	10832	2486	339	343	83	52	420	11503	10362	2875	298	311	93	52	420
G000005-1	36	19	1	0.15	22891	20639	6009	348	381	265	52	420	20637	19056	6187	317	365	335	52	420
G000005-2	36	20	1	0.114	23196	21259	6188	343	438	390	52	420	21424	19977	5592	308	429	532	52	420
G000005-3	36	21	1	0.041	20000	18262	5473	323	333	82	52	420	19412	17105	5840	285	292	84	52	420
G000006-1	44	19	1	0.226	14554	13775	3319	325	330	86	52	420	12464	11890	2743	301	306	70	52	420
G000006-2	44	20	1	0.218	14779	13563	3495	311	317	71	52	420	12737	11620	3555	297	303	65	52	420
G000006-3	44	21	1	0.196	14089	13873	2680	313	330	240	52	420	12317	12230	2311	290	336	863	52	420
G000007-1	4	16	1	-0.093	8400	7843	1905	340	345	76	52	420	8882	8312	2319	287	289	69	52	420
G000007-2	4	17	1	-0.181	7877	7391	1691	329	335	80	52	420	8831	8536	1773	276	278	64	52	420
!sample_table_end
