^SAMPLE = GSM178484
!Sample_title = Early Onset Breast Cancer Patient 3169met
!Sample_geo_accession = GSM178484
!Sample_status = Public on Oct 23 2007
!Sample_submission_date = Mar 29 2007
!Sample_last_update_date = Oct 23 2007
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Early Onset Breast Cancer Patient_3169met Tumour DNA
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = All patients were from a cohort of 116 cases of early-onset invasive breast carcinoma (i.e., diagnosed below 40 years of age), taken from a population-based registry (The Australian Breast Cancer Family Study).
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Tissue was microdissected from paraffin-embedded, formalin-fixed (PEFF) sections and digested with proteinase K. 
!Sample_label_ch1 = Cy5
!Sample_label_protocol_ch1 = DNA was amplified by one round of DOP PCR followed by a second DOP PCR reaction in the presence of amino-ally dUTP (Sigma-Aldrich, USA). Normal and tumour DNA was labelled by incubation with CyScribe Cy5 and Cy3 reactive dyes (Amersham Biosciences, UK).
!Sample_source_name_ch2 = Normal Female
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Deidentified normal healthy female with no visible by conventional comparative genomic hybridisation.
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = DNA was taken from peripheral blood lymphocytes using a Progenome kit (Progen). 
!Sample_label_ch2 = Cy3
!Sample_label_protocol_ch2 = DNA was amplified by one round of DOP PCR followed by a second DOP PCR reaction in the presence of amino-ally dUTP (Sigma-Aldrich, USA). Normal and tumour DNA was labelled by incubation with CyScribe Cy5 and Cy3 reactive dyes (Amersham Biosciences, UK).
!Sample_hyb_protocol = DNA was prepared for hybridisation to the Human BAC Array 1400 (Spectral Genomics, USA), according to the manufacturerâs instructions. In brief, DNA was combined with SG proprietary Hybridisation Buffer I and isopropanol precipitated. DNA was resuspended in 10 mL water and 60 mL Hybridisation Buffer II and hybridised at 37uC for 16 h in the presence of 26SSC, 50% formamide (pH 7.5). Arrays were washed sequentially in 26SSC/50% deionised formamide (pH 7.5), 26SSC/0.1% NP-40 (pH 7.5) and 0.2 SSC (pH 7.5) for 20, 20 and 10min, respectively. 
!Sample_scan_protocol = Arrays were scanned in an Axon 4000B scanner using GenePix v3.1 acquisition software (Molecular Devices, USA).
!Sample_description = N/A
!Sample_data_processing = Spot data were median normalised, and included in the analysis only if the spot was flagged above background as calculated by GenePix before duplicate spot pairs were averaged, a single tumour/normal ratio of 1.2 was considered as gain and 0.8 as loss. 
!Sample_platform_id = GPL5015
!Sample_contact_name = Gareth,,Price
!Sample_contact_email = nscalehome@gmail.com
!Sample_contact_phone = 61413289611
!Sample_contact_institute = Queensland Facility for Advanced Bioinformatics
!Sample_contact_address = Carmody Road
!Sample_contact_city = Brisbane
!Sample_contact_state = Queensland
!Sample_contact_zip/postal_code = 4072
!Sample_contact_country = Australia
!Sample_supplementary_file = NONE
!Sample_series_id = GSE7408
!Sample_data_row_count = 3840
#ID_REF = 
#Dia. = Spot Diameter, as determined by GenePix 3
#F635 Median = Feature Signal of tumour DNA labelled with Cy5, as calculated by Genepix 3
#B635 Median = Background Signal of tumour DNA labelled with Cy5, as calculated by Genepix 3
#F532 Median = Feature Signal of normal DNA labelled with Cy3, as calculated by Genepix 3
#B532 Median = Background Signal of normal DNA labelled with Cy3, as calculated by Genepix 3
#F Pixels = Number of Feature pixels used in signal calculation
#B Pixels = Number of Background pixels used in signal calculation
#VALUE = Log2 ratio of [F635 Median - B635 Median] / [F532 Median - B532 Median]
#F635 Median - B635 = F635 Median - B635 Median
#F532 Median - B532 = F532 Median - B532 Median
#Flags = Pass/fail status as determined by Genepix 3
!sample_table_begin
ID_REF	Dia.	F635 Median	B635 Median	F532 Median	B532 Median	F Pixels	B Pixels	VALUE	F635 Median - B635	F532 Median - B532	Flags
1	310	242	217	280	63	716	2551	-3.118	25	217	0
2	270	257	211	161	64	540	2196	-1.076	46	97	0
3	290	369	209	432	65	624	2318	-1.198	160	367	0
4	310	367	216	176	66	716	2246	0.457	151	110	0
5	320	273	215	288	67	812	2305	-1.93	58	221	0
6	310	376	211	169	69	716	2154	0.722	165	100	0
7	310	488	211	458	69	716	2192	-0.49	277	389	0
8	310	350	214	480	69	716	2229	-1.596	136	411	0
9	270	294	220	137	70	540	2223	0.143	74	67	0
10	270	454	218	482	70	540	2281	-0.804	236	412	-75
11	270	280	220	141	69	540	2253	-0.263	60	72	0
12	290	619	216	1079	69	624	2320	-1.326	403	1010	0
13	290	410	215	407	71	624	2320	-0.785	195	336	0
14	290	648	218	678	71	624	2210	-0.497	430	607	0
15	290	456	221	858	71	624	2294	-1.744	235	787	0
16	290	276	217	743	70	624	2426	-3.512	59	673	0
17	270	291	205	112	63	540	2137	0.812	86	49	0
18	300	332	205	298	65	716	2134	-0.876	127	233	0
19	270	240	207	156	66	540	2025	-1.447	33	90	0
20	300	582	210	407	65	716	2130	0.121	372	342	0
!sample_table_end
