^SAMPLE = GSM178476
!Sample_title = Early Onset Breast Cancer Patient 3743
!Sample_geo_accession = GSM178476
!Sample_status = Public on Oct 23 2007
!Sample_submission_date = Mar 28 2007
!Sample_last_update_date = Oct 23 2007
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Early Onset Breast Cancer Patient_3743 Tumour DNA
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = All patients were from a cohort of 116 cases of early-onset invasive breast carcinoma (i.e., diagnosed below 40 years of age), taken from a population-based registry (The Australian Breast Cancer Family Study).
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Tissue was microdissected from paraffin-embedded, formalin-fixed (PEFF) sections and digested with proteinase K. 
!Sample_label_ch1 = Cy5
!Sample_label_protocol_ch1 = DNA was amplified by one round of DOP PCR followed by a second DOP PCR reaction in the presence of amino-ally dUTP (Sigma-Aldrich, USA). Normal and tumour DNA was labelled by incubation with CyScribe Cy5 and Cy3 reactive dyes (Amersham Biosciences, UK).
!Sample_source_name_ch2 = Normal Female
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Deidentified normal healthy female with no visible by conventional comparative genomic hybridisation.
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = DNA was taken from peripheral blood lymphocytes using a Progenome kit (Progen). 
!Sample_label_ch2 = Cy3
!Sample_label_protocol_ch2 = DNA was amplified by one round of DOP PCR followed by a second DOP PCR reaction in the presence of amino-ally dUTP (Sigma-Aldrich, USA). Normal and tumour DNA was labelled by incubation with CyScribe Cy5 and Cy3 reactive dyes (Amersham Biosciences, UK).
!Sample_hyb_protocol = DNA was prepared for hybridisation to the Human BAC Array 1400 (Spectral Genomics, USA), according to the manufacturerâs instructions. In brief, DNA was combined with SG proprietary Hybridisation Buffer I and isopropanol precipitated. DNA was resuspended in 10 mL water and 60 mL Hybridisation Buffer II and hybridised at 37uC for 16 h in the presence of 26SSC, 50% formamide (pH 7.5). Arrays were washed sequentially in 26SSC/50% deionised formamide (pH 7.5), 26SSC/0.1% NP-40 (pH 7.5) and 0.2 SSC (pH 7.5) for 20, 20 and 10min, respectively. 
!Sample_scan_protocol = Arrays were scanned in an Axon 4000B scanner using GenePix v3.1 acquisition software (Molecular Devices, USA).
!Sample_description = N/A
!Sample_data_processing = Spot data were median normalised, and included in the analysis only if the spot was flagged above background as calculated by GenePix before duplicate spot pairs were averaged, a single tumour/normal ratio of 1.2 was considered as gain and 0.8 as loss. 
!Sample_platform_id = GPL5015
!Sample_contact_name = Gareth,,Price
!Sample_contact_email = nscalehome@gmail.com
!Sample_contact_phone = 61413289611
!Sample_contact_institute = Queensland Facility for Advanced Bioinformatics
!Sample_contact_address = Carmody Road
!Sample_contact_city = Brisbane
!Sample_contact_state = Queensland
!Sample_contact_zip/postal_code = 4072
!Sample_contact_country = Australia
!Sample_supplementary_file = NONE
!Sample_series_id = GSE7408
!Sample_data_row_count = 3840
#ID_REF = 
#Dia. = Spot Diameter, as determined by GenePix 3
#F635 Median = Feature Signal of tumour DNA labelled with Cy5, as calculated by Genepix 3
#B635 Median = Background Signal of tumour DNA labelled with Cy5, as calculated by Genepix 3
#F532 Median = Feature Signal of normal DNA labelled with Cy3, as calculated by Genepix 3
#B532 Median = Background Signal of normal DNA labelled with Cy3, as calculated by Genepix 3
#F Pixels = Number of Feature pixels used in signal calculation
#B Pixels = Number of Background pixels used in signal calculation
#VALUE = Log2 ratio of [F635 Median - B635 Median] / [F532 Median - B532 Median]
#F635 Median - B635 = F635 Median - B635 Median
#F532 Median - B532 = F532 Median - B532 Median
#Flags = Pass/fail status as determined by Genepix 3
!sample_table_begin
ID_REF	Dia.	F635 Median	B635 Median	F532 Median	B532 Median	F Pixels	B Pixels	VALUE	F635 Median - B635	F532 Median - B532	Flags
1	310	1243	507	1516	115	716	2374	-0.929	736	1401	0
2	320	1281	500	875	115	812	2130	0.039	781	760	0
3	320	1314	526	1208	115	812	2120	-0.472	788	1093	0
4	320	1297	520	980	116	812	2131	-0.153	777	864	0
5	310	1412	521	1638	119	716	2052	-0.77	891	1519	0
6	310	1538	534	1411	121	716	2162	-0.362	1004	1290	0
7	300	2379	536	4623	119	716	2192	-1.289	1843	4504	0
8	310	1823	537	1641	124	716	2192	-0.238	1286	1517	0
9	310	1154	548	900	125	716	2265	-0.355	606	775	0
10	250	2821	566	2504	129	460	2171	-0.075	2255	2375	-75
11	300	903	541	838	124	716	2314	-0.98	362	714	0
12	300	2264	528	2979	123	716	2192	-0.718	1736	2856	0
13	300	1267	530	3664	121	716	2192	-2.265	737	3543	0
14	310	4999	531	4776	119	716	2162	-0.06	4468	4657	0
15	310	2738	520	2418	121	716	2132	-0.05	2218	2297	0
16	310	1069	493	1108	118	716	2414	-0.781	576	990	0
17	300	1628	541	1538	122	716	2132	-0.381	1087	1416	0
18	310	2182	546	2615	119	716	1838	-0.609	1636	2496	0
19	310	1067	516	696	115	716	1809	-0.076	551	581	0
20	310	3813	525	4135	118	716	1800	-0.289	3288	4017	0
!sample_table_end
