^SAMPLE = GSM156954
!Sample_title = PMBCL3
!Sample_geo_accession = GSM156954
!Sample_status = Public on Aug 15 2007
!Sample_submission_date = Jan 18 2007
!Sample_last_update_date = Aug 15 2007
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = PMBCL3
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = PMBCL tumor DNA
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cyanine 3
!Sample_label_protocol_ch1 = Random prime reaction
!Sample_source_name_ch2 = Male pooled genomic DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Male pooled genomic reference DNA
!Sample_biomaterial_provider_ch2 = Novagen
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cyanine 5
!Sample_label_protocol_ch2 = Random prime reaction
!Sample_hyb_protocol = Hybridization solution: 80% DIG-easy, 10% sheared herring sperm DNA, 10% yeast tRNA.  Probe was blocked using 100ug human CoT-1 DNA and hybridized to the slide at 45C for ~36 hours under a 24x60mm coverslip in a hybrization cassette.  Wash: 4X 0.1% SDS/0.1X SSC at 45C.  Rinse: 4X 0.1X SSC, room temp.  Dried with an oil-free air stream.
!Sample_scan_protocol = Scanned at 10um resolution on a Applied Precision Instruments AutoE CCD-based scanner.
!Sample_description = tumor DNA (cy3) hybridized against normal male pooled reference DNA (cy5)
!Sample_data_processing = Data was obtained from the scanned image files generated using SoftWoRx Tracker software from Applied Precision.  Obtained data was normalized using a three-step normalization procedure; (Khojasteh et al BMC Bioinformatics 2005;6:274).  
!Sample_platform_id = GPL2735
!Sample_contact_name = Lindsey,,Kimm
!Sample_contact_email = lkimm@bccrc.ca
!Sample_contact_laboratory = Wan Lam Lab
!Sample_contact_department = Cancer Genetics
!Sample_contact_institute = BC Cancer Research Centre
!Sample_contact_address = 675 W10th Ave
!Sample_contact_city = Vancouver
!Sample_contact_state = British Columbia
!Sample_contact_zip/postal_code = V5Z 1L3
!Sample_contact_country = Canada
!Sample_supplementary_file = NONE
!Sample_series_id = GSE7383
!Sample_data_row_count = 98208
#ID_REF = 
#Spot Mean Intensity (Cy3) = mean spot pixel intensity - cy3 channel
#Spot Mean Intensity (Cy5) = mean spot pixel intensity - cy5 channel
#Background Median Intensity (Cy3) = median background pixel intensity - cy3 channel
#Background Median Intensity (Cy5) = median background pixel intensity - cy5 channel
#Spot Normalized Intensity (Cy3) = spot mean with background subtracted - cy3 channel
#Spot Normalized Intensity (Cy5) = spot mean with background subtracted - cy5 channel
#Spot SNR (Cy3) = signal to noise ratio - cy3 channel
#Spot SNR (Cy5) = signal to noise ratio - cy5 channel
#Spot Ratio (Cy3) = Cy3/Cy5 ratio
#Spot Ratio (Cy5) = Cy5/Cy3 ratio
#Spot Log2 Ratio (Cy3) = Log2 ratio (Cy3/Cy5) - global mean set to 0
#VALUE = normalized log2 ratio (Cy3/Cy5)
!sample_table_begin
ID_REF	Spot Mean Intensity (Cy3)	Spot Mean Intensity (Cy5)	Background Median Intensity (Cy3)	Background Median Intensity (Cy5)	Spot Normalized Intensity (Cy3)	Spot Normalized Intensity (Cy5)	Spot SNR (Cy3)	Spot SNR (Cy5)	Spot Ratio (Cy3)	Spot Ratio (Cy5)	Spot Log2 Ratio (Cy3)	VALUE
1	4013.92	3863.3	880	1599	3133.919	2264.302	49.4314	53.9147	0.9587125	1.043062	-0.06082978	0.024668834
2	2984.607	3192.94	1002	1636	1982.607	1556.94	60.2762	56.6393	0.8820633	1.133701	-0.1810459	-0.113027314
3	3642.91	3644.1	980	1641	2662.908	2003.104	51.1149	50.9948	0.9208478	1.085952	-0.1189654	-0.05084023
4	4410.99	4047.4	962.5	1634	3448.49	2413.395	79.2593	56.6859	0.9897726	1.010329	-0.01483114	0.045462757
5	4048.87	3908.07	964.5	1624.5	3084.369	2283.572	69.2155	58.8062	0.9355927	1.068837	-0.09604754	-0.030761516
6	2232.47	2532.928	905.5	1606	1326.97	926.928	37.3584	28.97437	0.9916314	1.008435	-0.01212402	0.060849889
7	2949.928	3081.675	918.5	1601.5	2031.428	1480.175	38.9802	44.987	0.9506562	1.051901	-0.07300451	-0.012204771
8	3564.64	3378.6	934	1580.5	2630.639	1798.102	66.718	49.8761	1.013402	0.9867712	0.01920698	0.08084878
9	3305.12	3256.06	876	1549.5	2429.119	1706.56	63.4313	44.079	0.9859672	1.014229	-0.0203885	0.04178987
10	3711.23	3754.4	877	1544.5	2834.229	2209.898	78.5422	66.4127	0.8883781	1.125643	-0.1707542	-0.096702428
11	3919.13	3766.64	861	1550	3058.133	2216.639	85.1605	57.8834	0.9556448	1.04641	-0.06545367	0.00659229
12	3079.798	3191.65	867	1561	2212.798	1630.655	92.1347	44.9148	0.9399716	1.063858	-0.08931088	-0.022238001
13	5261.67	4674.78	872	1566	4389.67	3108.783	157.4799	91.8724	0.9780859	1.022401	-0.03196694	0.030094827
14	2401.629	2752.82	891	1594.5	1510.629	1158.32	50.7144	29.00087	0.9033672	1.106966	-0.1466157	-0.071484249
15	3497.3	3545.07	908	1621	2589.298	1924.072	89.1141	45.9018	0.9321715	1.07276	-0.1013326	-0.029946305
16	4122.85	3965.55	914	1606	3208.85	2359.549	99.4287	77.9917	0.9420111	1.061555	-0.08618411	-0.018322918
17	3849.22	3801.45	962	1610	2887.221	2191.453	69.3339	85.7372	0.912605	1.09576	-0.1319375	-0.059053549
18	5494.97	4604.4	995	1627	4499.97	2977.396	23.85613	77.5712	1.046906	0.9551919	0.06613199	-0.333793158
19	4274.85	3147.529	1223.5	1679.5	3051.347	1468.029	2.049904	20.02909	1.439766	0.6945546	0.5258346	0.611036014
20	5025.42	3049.812	3218	1708	1807.423	1341.812	2.362307	17.67943	0.9330467	1.071754	-0.09997883	-0.010399852
!sample_table_end
