^SAMPLE = GSM69199
!Sample_title = MCF7
!Sample_geo_accession = GSM69199
!Sample_status = Public on Feb 17 2006
!Sample_submission_date = Aug 09 2005
!Sample_last_update_date = Feb 17 2006
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = ATCC:HTB-22D
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = ATCC:HTB-22D
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy5
!Sample_source_name_ch2 = Novagen Catalogue Number: 70605-3
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Novagen Catalogue Number: 70605-3
!Sample_characteristics_ch2 = Pooled female genomic DNA
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy3
!Sample_description = Competitive hybridization of differentially labeled pooled female genomic DNA and MCF7 genomic DNA
!Sample_data_processing = None
!Sample_platform_id = GPL2043
!Sample_contact_name = Ashleen,,Shadeo
!Sample_contact_email = ashadeo@bccrc.ca
!Sample_contact_institute = British Columbia Cancer Research Center
!Sample_contact_address = 675 west 10th Ave
!Sample_contact_city = Vancouver
!Sample_contact_state = BC
!Sample_contact_zip/postal_code = V6Z 2V9
!Sample_contact_country = Canada
!Sample_supplementary_file = NONE
!Sample_series_id = GSE3106
!Sample_data_row_count = 104544
#ID_REF = 
#Spot Mean Intensity (w595) = Mean Spot Pixel Intensity - Cy3 channel
#Spot Mean Intensity (w685) = Mean Spot Pixel Intensity - Cy5 channel
#Background Mean Intensity (w595) = Median Background Pixel Intensity - Cy3 channel
#Background Mean Intensity (w685) = Median Background Pixel Intensity - Cy5 channel
#Spot Normalized Intensity (w595) = Spot Mean - Background Median
#Spot Normalized Intensity (w685) = Spot Mean - Background Median
#Spot SNR (w595) = Signal to noise ratio - Cy3
#Spot SNR (w685) = Signal to noise ratio - Cy5
#Spot Ratio (w595) = Cy3/Cy5
#Spot Ratio (w685) = Cy5/Cy3
#Spot Log2 Ratio (w595) = log2(Cy3/Cy5) (global mean set to "0")
#VALUE = log2(Cy5/Cy3) (global mean set to "0")
!sample_table_begin
ID_REF	Spot Mean Intensity (w595)	Spot Mean Intensity (w685)	Background Mean Intensity (w595)	Background Mean Intensity (w685)	Spot Normalized Intensity (w595)	Spot Normalized Intensity (w685)	Spot SNR (w595)	Spot SNR (w685)	Spot Ratio (w595)	Spot Ratio (w685)	Spot Log2 Ratio (w595)	VALUE
1	7411.35	5345.71	1733.875	2629.158	5765.35	2720.714	21.37789	23.93479	1.034772	0.966198	0.04931315	-0.04960927
2	4898.32	4154.13	1929.905	2668.524	3082.817	1510.133	9.86598	14.91675	0.9968609	1.002943	-0.004535952	0.004239835
3	8477.67	5681.41	1730.802	2604.417	6843.67	3080.414	23.11213	33.6566	1.084882	0.9215705	0.1175375	-0.1178336
4	8233.55	5623.69	1659.75	2587.644	6635.05	3035.689	24.82647	41.3451	1.067306	0.9367459	0.0939742	-0.09427031
5	7146.29	5815.83	1531.582	2559.936	5662.29	3258.83	35.2751	50.4062	0.8484619	1.178361	-0.2370782	0.2367821
6	9182.81	5160.42	1467.441	2546.221	7734.81	2618.925	74.1404	44.8595	1.44221	0.6932378	0.5282816	-0.5285777
7	7582.99	6094.24	1441.5	2522.009	6161.99	3573.74	43.2924	47.7101	0.8419764	1.187438	-0.2481483	0.2478522
8	8143.43	5562.17	1425.558	2510.512	6733.93	3053.167	48.0564	40.0029	1.077011	0.9283049	0.1070333	-0.1073295
9	9170.16	6479.52	1358.057	2483.557	7818.66	3999.52	120.5034	73.9546	0.9546104	1.047333	-0.06701598	0.06671987
10	5853.83	6721.58	1308.89	2483.671	4567.83	4246.58	67.3819	82.3092	0.5252588	1.903433	-0.9288996	0.9286035
11	8232.33	5223.67	1314.674	2482.775	6933.33	2748.667	125.0047	53.9174	1.231749	0.8116873	0.3007079	-0.301004
12	10030.52	6477.09	1346.658	2506.027	8699.52	3977.09	130.6295	56.1565	1.06815	0.9360057	0.09511467	-0.09541079
13	10157.39	6684.69	1369.314	2514.2	8808.39	4179.69	109.6688	54.663	1.029094	0.9715295	0.04137405	-0.04167017
14	9715.03	6327.19	1371.625	2507.694	8350.03	3829.19	124.8044	45.5551	1.064838	0.938917	0.09063431	-0.09093042
15	10066.68	6613.07	1387.786	2493.798	8696.68	4120.57	112.1881	75.8117	1.030619	0.9700916	0.043511	-0.04380711
16	9237.39	6188.17	1371.022	2483.567	7887.39	3712.67	105.7132	68.4575	1.037406	0.9637451	0.05298027	-0.05327638
17	8519.07	5743.85	1372.583	2484.688	7148.07	3268.35	152.117	56.9781	1.067977	0.9361574	0.0948809	-0.09517702
18	11503.03	8790.53	1356.275	2474.882	10182.03	6334.03	96.2791	90.5654	0.7849761	1.273663	-0.3492794	0.3489833
19	9543.39	6471.59	1356.221	2480.147	8195.39	4000.59	103.5144	77.2589	1.000341	0.9994544	0.000491223	-0.00078734
20	1372.61	2484.39	1317.823	2467.097	65.6097	24.39014	0.890925	0.3650106	1.313579	0.7611228	0.3935029	-0.393799
!sample_table_end
