^SAMPLE = GSM51619
!Sample_title = 18
!Sample_geo_accession = GSM51619
!Sample_status = Public on May 18 2006
!Sample_submission_date = May 17 2005
!Sample_last_update_date = May 29 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = 18 LCM captured tumour DNA
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_molecule_ch1 = genomic DNA
!Sample_source_name_ch2 = 18 LCM captured adjacent normal DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_molecule_ch2 = genomic DNA
!Sample_description = For sample information see "High-Density, Genome-Wide Linkage and Gene Copy Number Analyses of a Six-Generation Prostate Cancer Family." by Fitzgerald et al, Cancer Research.
!Sample_platform_id = GPL2030
!Sample_contact_name = Gareth,,Price
!Sample_contact_email = nscalehome@gmail.com
!Sample_contact_phone = 61413289611
!Sample_contact_institute = Queensland Facility for Advanced Bioinformatics
!Sample_contact_address = Carmody Road
!Sample_contact_city = Brisbane
!Sample_contact_state = Queensland
!Sample_contact_zip/postal_code = 4072
!Sample_contact_country = Australia
!Sample_supplementary_file = NONE
!Sample_series_id = GSE2681
!Sample_data_row_count = 5760
#ID_REF =  
#VALUE = Average of log2 ratios for Ch1 (Sig-Bkd) v Ch2 (Sig-Bkd) with dye swap
#CH1_SIG_MEDIAN = Tumour DNA labelled with Cy5
#CH1_BKD_MEDIAN = Tumour DNA labelled with Cy5 background signal, as calculated by Genepix 3
#CH2_SIG_MEDIAN = Matched patient normal DNA labelled with Cy3 feature signal
#CH2_BKD_MEDIAN = Matched patient normal DNA labelled with Cy3, background signal, as calculated by Genepix 3
#FLAG = Pass/fail status as determined by Genepix
#CH1_SIG_MEDIAN_DS = Matched patient normal DNA labelled with Cy5 feature signal (Dye Swap)
#CH1_BKD_MEDIAN_DS = Matched patient normal DNA labelled with Cy5, background signal, as calculated by Genepix 3 (Dye Swap)
#CH2_SIG_MEDIAN_DS = Tumour DNA labelled with Cy3 (Dye Swap)
#CH2_BKD_MEDIAN_DS = Tumour DNA labelled with Cy3 background signal, as calculated by Genepix 3 (Dye Swap)
#FLAG_DS = Pass/fail status as determined by Genepix (Dye Swap)
!sample_table_begin
ID_REF	VALUE	CH1_SIG_MEDIAN	CH1_BKD_MEDIAN	CH2_SIG_MEDIAN	CH2_BKD_MEDIAN	FLAG	CH1_SIG_MEDIAN_DS	CH1_BKD_MEDIAN_DS	CH2_SIG_MEDIAN_DS	CH2_BKD_MEDIAN_DS	FLAG_DS
1	0.092200102	2901	287	2266	148	0	838	228	631	65	0
2	0.062707036	4028	308	3358	161	0	898	224	698	65	0
3	0.075571962	3457	320	3039	168	0	685	226	540	65	0
4	0.086667223	4609	310	3936	165	0	1158	233	998	66	0
5	0.162345809	3944	303	3535	156	0	686	231	652	66	0
6	0.143688251	2636	337	2248	181	0	790	237	717	66	0
7	-0.00686566	4104	327	3617	169	0	1141	232	868	67	0
8	0.15126886	3862	302	3299	155	0	854	236	792	69	0
9	0.0761794	3916	279	3614	146	0	1230	239	1146	69	0
10	-0.106328574	4300	289	4330	149	0	1404	242	1042	70	0
11	0.065186208	3639	284	3470	148	0	1136	247	1054	69	0
12	-0.056255052	3415	285	3247	151	0	1161	244	869	70	0
13	0.072022032	3864	290	3708	149	0	1116	241	1060	69	0
14	0.101840307	4381	286	4003	147	0	1437	247	1418	69	0
15	0.031499184	4581	289	4276	150	0	1047	246	870	70	0
16	0.035269842	4582	301	4291	153	0	1059	245	893	69	0
17	0.033959893	3928	298	3700	150	0	872	244	712	70	0
18	0.18719467	4877	299	4006	152	0	976	239	948	70	0
19	0.080640379	2670	293	2424	151	0	937	245	832	70	0
20	0.010907861	4130	290	4033	145	0	1137	252	965	70	0
!sample_table_end
