^SAMPLE = GSM51429
!Sample_title = 20
!Sample_geo_accession = GSM51429
!Sample_status = Public on May 18 2006
!Sample_submission_date = May 16 2005
!Sample_last_update_date = May 29 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = 20 LCM captured tumour DNA
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_molecule_ch1 = genomic DNA
!Sample_source_name_ch2 = 20 LCM captured tumour DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_molecule_ch2 = genomic DNA
!Sample_description = For sample information see "High-Density, Genome-Wide Linkage and Gene Copy Number Analyses of a Six-Generation Prostate Cancer Family." by Fitzgerald et al, Cancer Research.
!Sample_platform_id = GPL2030
!Sample_contact_name = Gareth,,Price
!Sample_contact_email = nscalehome@gmail.com
!Sample_contact_phone = 61413289611
!Sample_contact_institute = Queensland Facility for Advanced Bioinformatics
!Sample_contact_address = Carmody Road
!Sample_contact_city = Brisbane
!Sample_contact_state = Queensland
!Sample_contact_zip/postal_code = 4072
!Sample_contact_country = Australia
!Sample_supplementary_file = NONE
!Sample_series_id = GSE2681
!Sample_data_row_count = 5760
#ID_REF =  
#VALUE = Average of log2 ratios for Ch1 (Sig-Bkd) v Ch2 (Sig-Bkd) with dye swap
#CH1_SIG_MEDIAN = Tumour DNA labelled with Cy5
#CH1_BKD_MEDIAN = Tumour DNA labelled with Cy5 background signal, as calculated by Genepix 3
#CH2_SIG_MEDIAN = Matched patient normal DNA labelled with Cy3 feature signal
#CH2_BKD_MEDIAN = Matched patient normal DNA labelled with Cy3, background signal, as calculated by Genepix 3
#FLAG = Pass/fail status as determined by Genepix
#CH1_SIG_MEDIAN_DS = Matched patient normal DNA labelled with Cy5 feature signal (Dye Swap)
#CH1_BKD_MEDIAN_DS = Matched patient normal DNA labelled with Cy5, background signal, as calculated by Genepix 3 (Dye Swap)
#CH2_SIG_MEDIAN_DS = Tumour DNA labelled with Cy3 (Dye Swap)
#CH2_BKD_MEDIAN_DS = Tumour DNA labelled with Cy3 background signal, as calculated by Genepix 3 (Dye Swap)
#FLAG_DS = Pass/fail status as determined by Genepix (Dye Swap)
!sample_table_begin
ID_REF	VALUE	CH1_SIG_MEDIAN	CH1_BKD_MEDIAN	CH2_SIG_MEDIAN	CH2_BKD_MEDIAN	FLAG	CH1_SIG_MEDIAN_DS	CH1_BKD_MEDIAN_DS	CH2_SIG_MEDIAN_DS	CH2_BKD_MEDIAN_DS	FLAG_DS
1	0.091586158	2220	566	1519	127	0	708	144	678	69	0
2	0.088257122	3015	555	2132	126	0	997	147	949	71	0
3	0.169327283	2568	545	1807	125	0	600	153	640	72	0
4	0.071914556	3558	541	2710	118	0	1388	150	1387	73	0
5	0.136323342	3658	538	2708	118	0	693	151	709	74	0
6	0.137474022	2454	528	1624	120	0	861	152	843	74	0
7	0.056996623	4042	518	3060	118	0	1169	155	1086	75	0
8	0.057782172	3922	510	3001	118	0	1072	160	1001	78	0
9	0.031228865	3954	504	2867	116	0	1464	159	1261	81	0
10	0.011624503	4174	504	3230	110	0	1488	163	1317	81	0
11	0.093230915	3876	511	2765	101	0	1371	162	1297	79	0
12	0.004231484	2804	493	2130	98	0	1454	158	1312	78	0
13	0.199802226	4021	482	2496	93	0	1192	148	1141	74	0
14	-0.02663855	3369	482	2642	84	0	1781	150	1551	72	0
15	-0.009454962	3332	494	2674	82	0	1143	151	1024	68	0
16	0.003630856	3390	478	2538	77	0	1300	150	1119	68	0
17	0.067300295	2649	467	1948	73	0	906	149	864	68	0
18	-0.008247278	2661	459	2013	69	0	1269	145	1116	66	0
19	0.041859947	1685	457	1128	68	0	1161	145	1083	63	0
20	0.11396087	3045	470	2304	68	0	1015	144	1089	62	0
!sample_table_end
