^SAMPLE = GSM51428
!Sample_title = 1
!Sample_geo_accession = GSM51428
!Sample_status = Public on May 18 2006
!Sample_submission_date = May 16 2005
!Sample_last_update_date = May 29 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = 1 LCM captured tumour DNA
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_molecule_ch1 = genomic DNA
!Sample_source_name_ch2 = 1 LCM captured adjacent normal DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_molecule_ch2 = genomic DNA
!Sample_description = For sample information see "High-Density, Genome-Wide Linkage and Gene Copy Number Analyses of a Six-Generation Prostate Cancer Family." by Fitzgerald et al, Cancer Research.
!Sample_description = 
!Sample_platform_id = GPL2030
!Sample_contact_name = Gareth,,Price
!Sample_contact_email = nscalehome@gmail.com
!Sample_contact_phone = 61413289611
!Sample_contact_institute = Queensland Facility for Advanced Bioinformatics
!Sample_contact_address = Carmody Road
!Sample_contact_city = Brisbane
!Sample_contact_state = Queensland
!Sample_contact_zip/postal_code = 4072
!Sample_contact_country = Australia
!Sample_supplementary_file = NONE
!Sample_series_id = GSE2681
!Sample_data_row_count = 5760
#ID_REF =  
#VALUE = Average of log2 ratios for Ch1 (Sig-Bkd) v Ch2 (Sig-Bkd) with dye swap
#CH1_SIG_MEDIAN = Tumour DNA labelled with Cy5
#CH1_BKD_MEDIAN = Tumour DNA labelled with Cy5 background signal, as calculated by Genepix 3
#CH2_SIG_MEDIAN = Matched patient normal DNA labelled with Cy3 feature signal
#CH2_BKD_MEDIAN = Matched patient normal DNA labelled with Cy3, background signal, as calculated by Genepix 3
#FLAG = Pass/fail status as determined by Genepix
#CH1_SIG_MEDIAN_DS = Matched patient normal DNA labelled with Cy5 feature signal (Dye Swap)
#CH1_BKD_MEDIAN_DS = Matched patient normal DNA labelled with Cy5, background signal, as calculated by Genepix 3 (Dye Swap)
#CH2_SIG_MEDIAN_DS = Tumour DNA labelled with Cy3 (Dye Swap)
#CH2_BKD_MEDIAN_DS = Tumour DNA labelled with Cy3 background signal, as calculated by Genepix 3 (Dye Swap)
#FLAG_DS = Pass/fail status as determined by Genepix (Dye Swap)
!sample_table_begin
ID_REF	VALUE	CH1_SIG_MEDIAN	CH1_BKD_MEDIAN	CH2_SIG_MEDIAN	CH2_BKD_MEDIAN	FLAG	CH1_SIG_MEDIAN_DS	CH1_BKD_MEDIAN_DS	CH2_SIG_MEDIAN_DS	CH2_BKD_MEDIAN_DS	FLAG_DS
1	0.075540119	1725	166	1399	88	0	452	75	420	54	0
2	0.095517501	2804	172	2233	96	0	786	76	739	51	0
3	0.093898397	2553	177	2125	100	0	804	73	798	50	0
4	0.076073878	3306	179	2815	102	0	745	73	728	51	0
5	0.069168974	3571	187	2976	108	0	1178	74	1119	51	0
6	0.066666931	2524	194	2099	113	0	1458	75	1391	51	0
7	0.154680858	4224	196	3348	112	0	848	76	885	51	0
8	0.022445514	3979	195	3303	111	0	1580	77	1378	52	0
9	0.153071398	4413	194	3637	112	0	723	77	785	52	0
10	0.156026971	4920	195	4054	113	0	856	76	941	52	0
11	0.028818896	4061	198	3459	114	0	1879	78	1705	53	0
12	-0.016555941	3245	192	2807	113	0	2073	82	1770	54	0
13	0.020034463	4415	193	4031	113	0	1643	84	1571	59	0
14	-0.090468384	4419	196	3792	114	0	3039	90	2295	68	0
15	-0.026360339	4110	195	3527	115	0	1909	82	1591	61	0
16	-0.013413164	4497	193	3665	112	0	1822	83	1470	58	0
17	0.025910544	4006	197	3347	115	0	1639	85	1450	62	0
18	-0.001726616	4421	195	3693	114	0	2438	84	2057	58	0
19	0.16255525	2842	200	2223	114	0	961	80	1014	54	0
20	0.048628208	4451	203	3841	119	0	1377	80	1304	53	0
!sample_table_end
