^SAMPLE = GSM51616
!Sample_title = 9
!Sample_geo_accession = GSM51616
!Sample_status = Public on May 18 2006
!Sample_submission_date = May 17 2005
!Sample_last_update_date = May 29 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = 9 LCM captured tumour DNA
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_molecule_ch1 = genomic DNA
!Sample_source_name_ch2 = 9 LCM captured adjacent normal DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_molecule_ch2 = genomic DNA
!Sample_description = For sample information see "High-Density, Genome-Wide Linkage and Gene Copy Number Analyses of a Six-Generation Prostate Cancer Family." by Fitzgerald et al, Cancer Research.
!Sample_platform_id = GPL2030
!Sample_contact_name = Gareth,,Price
!Sample_contact_email = nscalehome@gmail.com
!Sample_contact_phone = 61413289611
!Sample_contact_institute = Queensland Facility for Advanced Bioinformatics
!Sample_contact_address = Carmody Road
!Sample_contact_city = Brisbane
!Sample_contact_state = Queensland
!Sample_contact_zip/postal_code = 4072
!Sample_contact_country = Australia
!Sample_supplementary_file = NONE
!Sample_series_id = GSE2681
!Sample_data_row_count = 5760
#ID_REF =  
#VALUE = Average of log2 ratios for Ch1 (Sig-Bkd) v Ch2 (Sig-Bkd) with dye swap
#CH1_SIG_MEDIAN = Tumour DNA labelled with Cy5
#CH1_BKD_MEDIAN = Tumour DNA labelled with Cy5 background signal, as calculated by Genepix 3
#CH2_SIG_MEDIAN = Matched patient normal DNA labelled with Cy3 feature signal
#CH2_BKD_MEDIAN = Matched patient normal DNA labelled with Cy3, background signal, as calculated by Genepix 3
#FLAG = Pass/fail status as determined by Genepix
#CH1_SIG_MEDIAN_DS = Matched patient normal DNA labelled with Cy5 feature signal (Dye Swap)
#CH1_BKD_MEDIAN_DS = Matched patient normal DNA labelled with Cy5, background signal, as calculated by Genepix 3 (Dye Swap)
#CH2_SIG_MEDIAN_DS = Tumour DNA labelled with Cy3 (Dye Swap)
#CH2_BKD_MEDIAN_DS = Tumour DNA labelled with Cy3 background signal, as calculated by Genepix 3 (Dye Swap)
#FLAG_DS = Pass/fail status as determined by Genepix (Dye Swap)
!sample_table_begin
ID_REF	VALUE	CH1_SIG_MEDIAN	CH1_BKD_MEDIAN	CH2_SIG_MEDIAN	CH2_BKD_MEDIAN	FLAG	CH1_SIG_MEDIAN_DS	CH1_BKD_MEDIAN_DS	CH2_SIG_MEDIAN_DS	CH2_BKD_MEDIAN_DS	FLAG_DS
1	0.019771042	1381	310	1071	95	0	900	99	842	45	0
2	0.013582105	2119	317	1718	100	0	1221	100	1132	47	0
3	0.118651347	1904	311	1545	103	0	725	101	816	47	0
4	-0.005124509	2498	309	2067	103	0	1622	102	1465	47	0
5	0.088741091	2494	318	2096	104	0	901	100	978	47	0
6	0.068725185	1488	327	1170	106	0	1133	100	1195	47	0
7	0.022297458	3113	322	2520	105	0	1548	102	1417	47	0
8	-0.030184472	2872	319	2593	102	0	1269	103	1172	48	0
9	0.000208987	3224	319	2708	101	0	1813	105	1658	48	0
10	-0.030632909	3345	317	2931	102	0	1788	104	1604	47	0
11	-0.012506036	2833	314	2505	100	0	1617	101	1530	48	0
12	-0.046107577	2043	319	1748	100	0	1847	101	1650	48	0
13	0.022908128	2052	314	1782	97	0	1387	102	1420	47	0
14	-0.092104308	2843	307	2449	96	0	2429	103	1964	47	0
15	0.029173351	2774	307	2329	96	0	1388	103	1341	47	0
16	0.004789667	3749	311	2965	96	0	1626	104	1391	46	0
17	0.06987793	3900	322	3226	99	0	1016	104	1008	46	0
18	0.016268339	4648	321	3706	103	0	1308	105	1128	45	0
19	0.05920262	2556	319	2035	102	0	982	104	938	44	0
20	0.158573073	4608	330	3731	102	0	713	101	809	45	0
!sample_table_end
