^SAMPLE = GSM51621
!Sample_title = 5
!Sample_geo_accession = GSM51621
!Sample_status = Public on May 18 2006
!Sample_submission_date = May 17 2005
!Sample_last_update_date = May 29 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = 5 LCM captured tumour (PIN) DNA
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_molecule_ch1 = genomic DNA
!Sample_source_name_ch2 = 5 LCM captured adjacent normal DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_molecule_ch2 = genomic DNA
!Sample_description = For sample information see "High-Density, Genome-Wide Linkage and Gene Copy Number Analyses of a Six-Generation Prostate Cancer Family." by Fitzgerald et al, Cancer Research.
!Sample_platform_id = GPL2030
!Sample_contact_name = Gareth,,Price
!Sample_contact_email = nscalehome@gmail.com
!Sample_contact_phone = 61413289611
!Sample_contact_institute = Queensland Facility for Advanced Bioinformatics
!Sample_contact_address = Carmody Road
!Sample_contact_city = Brisbane
!Sample_contact_state = Queensland
!Sample_contact_zip/postal_code = 4072
!Sample_contact_country = Australia
!Sample_supplementary_file = NONE
!Sample_series_id = GSE2681
!Sample_data_row_count = 5760
#ID_REF =  
#VALUE = Average of log2 ratios for Ch1 (Sig-Bkd) v Ch2 (Sig-Bkd) with dye swap
#CH1_SIG_MEDIAN = Tumour DNA labelled with Cy5
#CH1_BKD_MEDIAN = Tumour DNA labelled with Cy5 background signal, as calculated by Genepix 3
#CH2_SIG_MEDIAN = Matched patient normal DNA labelled with Cy3 feature signal
#CH2_BKD_MEDIAN = Matched patient normal DNA labelled with Cy3, background signal, as calculated by Genepix 3
#FLAG = Pass/fail status as determined by Genepix
#CH1_SIG_MEDIAN_DS = Matched patient normal DNA labelled with Cy5 feature signal (Dye Swap)
#CH1_BKD_MEDIAN_DS = Matched patient normal DNA labelled with Cy5, background signal, as calculated by Genepix 3 (Dye Swap)
#CH2_SIG_MEDIAN_DS = Tumour DNA labelled with Cy3 (Dye Swap)
#CH2_BKD_MEDIAN_DS = Tumour DNA labelled with Cy3 background signal, as calculated by Genepix 3 (Dye Swap)
#FLAG_DS = Pass/fail status as determined by Genepix (Dye Swap)
!sample_table_begin
ID_REF	VALUE	CH1_SIG_MEDIAN	CH1_BKD_MEDIAN	CH2_SIG_MEDIAN	CH2_BKD_MEDIAN	FLAG	CH1_SIG_MEDIAN_DS	CH1_BKD_MEDIAN_DS	CH2_SIG_MEDIAN_DS	CH2_BKD_MEDIAN_DS	FLAG_DS
1	-0.16725218	496	211	378	85	0	831	174	780	56	0
2	0.003888573	959	218	633	90	0	2254	170	2382	56	0
3	-0.079256971	657	210	451	83	0	1802	171	1813	56	0
4	-0.196355235	786	214	631	85	0	1509	173	1388	56	0
5	-0.016150614	969	229	686	96	0	1256	174	1323	57	0
6	-0.279607042	1009	257	1073	135	0	2889	174	2850	57	0
7	-0.173528214	1243	265	1109	149	0	1812	177	1782	57	0
8	-0.190106464	970	253	863	146	0	1232	179	1152	57	0
9	-0.222018009	1163	276	1078	164	0	1649	179	1539	58	0
10	-0.119980024	1358	260	1126	140	0	2075	177	2108	58	0
11	-0.061771191	1165	230	843	97	0	1888	181	1901	58	0
12	0.131170701	1126	222	666	86	0	2065	178	2351	58	0
13	-0.242137074	1018	225	814	87	0	3132	179	2734	59	0
14	-0.147677334	2283	227	1744	88	0	3676	177	3378	59	0
15	0.111227859	2354	228	1289	87	0	3022	180	2920	59	0
16	-0.024651637	1824	228	1328	88	0	2405	184	2555	59	0
17	0.035817634	1793	224	1277	87	0	2005	186	2290	58	0
18	-0.022983832	2155	227	1492	86	0	1993	179	1981	57	0
19	0.058091363	1631	226	989	89	0	2830	176	2880	57	0
20	0.046649593	2364	232	1713	87	0	1108	177	1232	58	0
!sample_table_end
