^SAMPLE = GSM50846
!Sample_title = 132
!Sample_geo_accession = GSM50846
!Sample_status = Public on May 18 2006
!Sample_submission_date = May 12 2005
!Sample_last_update_date = May 29 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = 132 LCM captured tumour DNA
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_molecule_ch1 = genomic DNA
!Sample_source_name_ch2 = 132 LCM captured adjacent normal DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_molecule_ch2 = genomic DNA
!Sample_description = For sample information see "High-Density, Genome-Wide Linkage and Gene Copy Number Analyses of a Six-Generation Prostate Cancer Family." by Fitzgerald et al, Cancer Research.
!Sample_platform_id = GPL2030
!Sample_contact_name = Gareth,,Price
!Sample_contact_email = nscalehome@gmail.com
!Sample_contact_phone = 61413289611
!Sample_contact_institute = Queensland Facility for Advanced Bioinformatics
!Sample_contact_address = Carmody Road
!Sample_contact_city = Brisbane
!Sample_contact_state = Queensland
!Sample_contact_zip/postal_code = 4072
!Sample_contact_country = Australia
!Sample_supplementary_file = NONE
!Sample_series_id = GSE2681
!Sample_data_row_count = 5760
#ID_REF =  
#VALUE = Average of log2 ratios for Ch1 (Sig-Bkd) v Ch2 (Sig-Bkd) with dye swap
#CH1_SIG_MEDIAN = Tumour DNA labelled with Cy5
#CH1_BKD_MEDIAN = Tumour DNA labelled with Cy5 background signal, as calculated by Genepix 3
#CH2_SIG_MEDIAN = Matched patient normal DNA labelled with Cy3 feature signal
#CH2_BKD_MEDIAN = Matched patient normal DNA labelled with Cy3,  background signal, as calculated by Genepix 3
#FLAG = Pass/fail status as determined by Genepix
#CH1_SIG_MEDIAN_DS = Matched patient normal DNA labelled with Cy5 feature signal (Dye Swap)
#CH1_BKD_MEDIAN_DS = Matched patient normal DNA labelled with Cy5,  background signal, as calculated by Genepix 3 (Dye Swap)
#CH2_SIG_MEDIAN_DS = Tumour DNA labelled with Cy3 (Dye Swap)
#CH2_BKD_MEDIAN_DS = Tumour DNA labelled with Cy3 background signal, as calculated by Genepix 3 (Dye Swap)
#FLAG_DS = Pass/fail status as determined by Genepix (Dye Swap)
!sample_table_begin
ID_REF	VALUE	CH1_SIG_MEDIAN	CH1_BKD_MEDIAN	CH2_SIG_MEDIAN	CH2_BKD_MEDIAN	FLAG	CH1_SIG_MEDIAN_DS	CH1_BKD_MEDIAN_DS	CH2_SIG_MEDIAN_DS	CH2_BKD_MEDIAN_DS	FLAG_DS
1	-0.081588086	548	304	528	223	0	495	291	349	112	0
2	-0.171900115	792	307	819	225	0	1014	292	812	116	0
3	-0.001233333	645	314	577	224	0	654	303	533	115	0
4	-0.082978328	770	322	774	219	0	919	305	818	112	0
5	0.156240941	881	317	715	202	0	699	301	681	114	0
6	-0.093376037	909	319	967	193	0	1265	304	1248	115	0
7	0.174213232	1118	319	961	202	0	752	308	825	118	0
8	0.086073234	826	309	720	211	0	629	309	541	116	0
9	-0.067298756	831	309	805	202	0	714	310	565	113	0
10	0.048429574	1083	310	971	170	0	831	307	788	112	0
11	-0.121246978	761	314	662	134	0	741	301	565	113	0
12	0.018299517	645	312	452	111	0	651	306	523	112	0
13	-0.227720355	671	313	627	107	0	970	304	765	114	0
14	-0.128816683	1131	313	1044	108	0	948	329	733	121	0
15	0.598487872	824	310	964	108	0	807	634	479	144	-50
16	0.910033666	883	316	731	110	0	735	580	585	140	-50
17	0.04155166	805	314	575	111	0	689	312	547	114	0
18	0.012814861	878	308	663	108	0	786	312	641	111	0
19	0.06568094	871	312	586	107	0	866	314	708	111	0
20	0.070052151	975	313	732	109	0	768	320	659	115	0
!sample_table_end
