^SAMPLE = GSM51622
!Sample_title = 16
!Sample_geo_accession = GSM51622
!Sample_status = Public on May 18 2006
!Sample_submission_date = May 17 2005
!Sample_last_update_date = May 29 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = 16 LCM captured tumour DNA
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_molecule_ch1 = genomic DNA
!Sample_source_name_ch2 = 16 LCM captured adjacent normal DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_molecule_ch2 = genomic DNA
!Sample_description = For sample information see "High-Density, Genome-Wide Linkage and Gene Copy Number Analyses of a Six-Generation Prostate Cancer Family." by Fitzgerald et al, Cancer Research.
!Sample_platform_id = GPL2030
!Sample_contact_name = Gareth,,Price
!Sample_contact_email = nscalehome@gmail.com
!Sample_contact_phone = 61413289611
!Sample_contact_institute = Queensland Facility for Advanced Bioinformatics
!Sample_contact_address = Carmody Road
!Sample_contact_city = Brisbane
!Sample_contact_state = Queensland
!Sample_contact_zip/postal_code = 4072
!Sample_contact_country = Australia
!Sample_supplementary_file = NONE
!Sample_series_id = GSE2681
!Sample_data_row_count = 5760
#ID_REF =  
#VALUE = Average of log2 ratios for Ch1 (Sig-Bkd) v Ch2 (Sig-Bkd) with dye swap
#CH1_SIG_MEDIAN = Tumour DNA labelled with Cy5
#CH1_BKD_MEDIAN = Tumour DNA labelled with Cy5 background signal, as calculated by Genepix 3
#CH2_SIG_MEDIAN = Matched patient normal DNA labelled with Cy3 feature signal
#CH2_BKD_MEDIAN = Matched patient normal DNA labelled with Cy3, background signal, as calculated by Genepix 3
#FLAG = Pass/fail status as determined by Genepix
#CH1_SIG_MEDIAN_DS = Matched patient normal DNA labelled with Cy5 feature signal (Dye Swap)
#CH1_BKD_MEDIAN_DS = Matched patient normal DNA labelled with Cy5, background signal, as calculated by Genepix 3 (Dye Swap)
#CH2_SIG_MEDIAN_DS = Tumour DNA labelled with Cy3 (Dye Swap)
#CH2_BKD_MEDIAN_DS = Tumour DNA labelled with Cy3 background signal, as calculated by Genepix 3 (Dye Swap)
#FLAG_DS = Pass/fail status as determined by Genepix (Dye Swap)
!sample_table_begin
ID_REF	VALUE	CH1_SIG_MEDIAN	CH1_BKD_MEDIAN	CH2_SIG_MEDIAN	CH2_BKD_MEDIAN	FLAG	CH1_SIG_MEDIAN_DS	CH1_BKD_MEDIAN_DS	CH2_SIG_MEDIAN_DS	CH2_BKD_MEDIAN_DS	FLAG_DS
1	-0.266035417	884	209	920	73	0	575	226	351	85	0
2	0.040594445	1944	214	1550	73	0	1148	226	956	84	0
3	-0.013609626	1436	214	1204	74	0	845	219	664	84	0
4	-0.033933952	1386	213	1351	74	0	1183	223	1081	83	0
5	-0.080862546	1536	209	1561	75	0	839	222	682	84	0
6	-0.192886048	1443	215	1540	75	0	2333	225	1835	85	0
7	-0.047735948	1691	215	1627	75	0	996	231	837	88	0
8	-0.082908943	1140	211	1122	75	0	844	233	680	87	0
9	-0.041851412	1170	214	1137	77	0	987	234	872	89	0
10	-0.233289676	1527	213	1677	78	0	1648	242	1199	92	0
11	0.07716995	1508	218	1360	76	0	1132	244	1174	93	0
12	-0.151778038	1456	220	1539	77	0	1186	247	928	96	0
13	-0.049140777	1835	222	1919	78	0	1812	247	1738	93	0
14	-0.077276162	2182	223	2040	77	0	1892	246	1554	93	0
15	0.020490952	2385	229	2050	76	0	1556	242	1378	91	0
16	0.003756914	1995	230	1830	78	0	1439	246	1317	90	0
17	-0.098729399	1746	234	1656	79	0	1138	245	881	92	0
18	-0.012059867	1861	231	1676	78	0	1103	239	941	91	0
19	0.072022979	2254	232	1782	78	0	1154	239	994	87	0
20	0.054372413	2217	233	1880	79	0	914	235	793	87	0
!sample_table_end
