^SAMPLE = GSM51900
!Sample_title = 8
!Sample_geo_accession = GSM51900
!Sample_status = Public on May 18 2006
!Sample_submission_date = May 19 2005
!Sample_last_update_date = May 29 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = 8 LCM captured tumour DNA
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_molecule_ch1 = genomic DNA
!Sample_source_name_ch2 = 8 LCM captured adjacent normal DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_molecule_ch2 = genomic DNA
!Sample_description = For sample information see "High-Density, Genome-Wide Linkage and Gene Copy Number Analyses of a Six-Generation Prostate Cancer Family." by Fitzgerald et al, Cancer Research.
!Sample_description = 
!Sample_platform_id = GPL2030
!Sample_contact_name = Gareth,,Price
!Sample_contact_email = nscalehome@gmail.com
!Sample_contact_phone = 61413289611
!Sample_contact_institute = Queensland Facility for Advanced Bioinformatics
!Sample_contact_address = Carmody Road
!Sample_contact_city = Brisbane
!Sample_contact_state = Queensland
!Sample_contact_zip/postal_code = 4072
!Sample_contact_country = Australia
!Sample_supplementary_file = NONE
!Sample_series_id = GSE2681
!Sample_data_row_count = 5760
#ID_REF =  
#VALUE = Average of log2 ratios for Ch1 (Sig-Bkd) v Ch2 (Sig-Bkd) with dye swap
#CH1_SIG_MEDIAN = Tumour DNA labelled with Cy5
#CH1_BKD_MEDIAN = Tumour DNA labelled with Cy5 background signal, as calculated by Genepix 3
#CH2_SIG_MEDIAN = Matched patient normal DNA labelled with Cy3 feature signal
#CH2_BKD_MEDIAN = Matched patient normal DNA labelled with Cy3, background signal, as calculated by Genepix 3
#FLAG = Pass/fail status as determined by Genepix
#CH1_SIG_MEDIAN_DS = Matched patient normal DNA labelled with Cy5 feature signal (Dye Swap)
#CH1_BKD_MEDIAN_DS = Matched patient normal DNA labelled with Cy5, background signal, as calculated by Genepix 3 (Dye Swap)
#CH2_SIG_MEDIAN_DS = Tumour DNA labelled with Cy3 (Dye Swap)
#CH2_BKD_MEDIAN_DS = Tumour DNA labelled with Cy3 background signal, as calculated by Genepix 3 (Dye Swap)
#FLAG_DS = Pass/fail status as determined by Genepix (Dye Swap)
!sample_table_begin
ID_REF	VALUE	CH1_SIG_MEDIAN	CH1_BKD_MEDIAN	CH2_SIG_MEDIAN	CH2_BKD_MEDIAN	FLAG	CH1_SIG_MEDIAN_DS	CH1_BKD_MEDIAN_DS	CH2_SIG_MEDIAN_DS	CH2_BKD_MEDIAN_DS	FLAG_DS
1	-0.010880016	1189	253	1128	154	0	247	182	204	71	0
2	0.081675787	2156	261	1521	158	0	324	183	309	71	0
3	0.028561778	1697	257	1337	157	0	303	182	283	71	0
4	0.06880376	2073	260	1956	155	0	259	183	252	70	0
5	0.040648412	2478	265	2194	162	0	332	187	366	71	0
6	0.271036599	2543	262	1544	159	0	335	184	375	71	0
7	0.046108955	3232	256	2787	155	0	357	180	422	72	0
8	-0.109199769	2037	258	2181	152	0	351	185	368	73	0
9	0.195554055	2995	266	2463	152	0	286	192	338	73	0
10	0.156307978	3622	268	3003	174	0	340	190	446	74	0
11	-0.059511153	2612	269	2428	179	0	355	188	359	74	0
12	0.051504098	2395	259	1875	163	0	295	188	266	74	0
13	0.29853492	2488	270	1777	165	0	262	193	284	75	0
14	-0.066999406	3947	271	3165	167	0	460	189	469	74	0
15	-0.011861314	4649	262	3203	173	0	439	189	413	71	0
16	0.048147608	3857	267	3591	160	0	316	190	344	71	0
17	0.069440083	2651	262	2167	156	0	344	191	375	73	0
18	-0.060499219	2716	268	2629	175	0	374	192	395	73	0
19	-0.349787895	2158	274	1636	180	0	433	192	302	73	0
20	-0.010765255	2676	275	2720	169	0	346	188	403	73	0
!sample_table_end
