^SAMPLE = GSM197882
!Sample_title = Carcinoma component of a progressed adenoma (P5C_s07_b16)
!Sample_geo_accession = GSM197882
!Sample_status = Public on Oct 15 2008
!Sample_submission_date = Jun 05 2007
!Sample_last_update_date = Oct 15 2008
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = colon
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Carcinoma component of a progressed adenoma
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = as described in Weiss et al, Mol Pathol. 1999 Oct;52(5):243-51.
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = as described by Snijders et al, Nat Genetics, volume 29, p 263-4
!Sample_source_name_ch2 = male Reference DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = A pool of ten normal individuals
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = DNAzol (Invitrogen) according to manufacturer's protocol
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = as described by Snijders et al, Nat Genetics, volume 29, p 263-4
!Sample_hyb_protocol = as described by Carvalho et al, Cell Oncol. 2006;28(5-6):283-94.
!Sample_scan_protocol = Microarray Scanner G2505B (Agilent Technologies), default settings
!Sample_description = n/a
!Sample_data_processing = Spots were quantified in ImaGene 5.6.1 software using default settings. BAC clones were positioned along the genome according to the July 2003 freeze. After exclusion of flagged spots, the average of the triplicate spots was calculated for each BAC clone and 2log ratios (tumour/normal reference signal) were normalised by subtraction of the mode value of BAC clones on chromosome 1-22. BAC clones with flagged spots were excluded from analysis.
!Sample_platform_id = GPL3442
!Sample_contact_name = Daoud,,Sie
!Sample_contact_email = d.sie@vumc.nl
!Sample_contact_phone = +31 20 4442428
!Sample_contact_laboratory = Microarray Core Facility
!Sample_contact_department = Pathology
!Sample_contact_institute = Vrije Universiteit Medical Center
!Sample_contact_address = De Boelelaan 1117
!Sample_contact_city = Amsterdam
!Sample_contact_zip/postal_code = 1081 HV
!Sample_contact_country = Netherlands
!Sample_supplementary_file = NONE
!Sample_series_id = GSE8067
!Sample_data_row_count = 15528
#ID_REF = 
#Signal Median CH1 = spot signal channel 1 (Cy3)
#Background Median CH1 = background signal of channel 1 (Cy3)
#Signal Median CH2 = spot signal channel 2 (Cy5)
#Background Median CH2 = background signal of channel 1 (Cy5)
#Log2ratio = 
#Flag = A flag to highlight spots that suffer from poor printing and other experimental artefacts (0 acceptable; 1-4 not acceptable)
#VALUE = same as UNF_VALUE but with flagged values removed
#UNF_VALUE = Normalized value of the log2ratio. Flagged features are excluded. Values where also deleted if the each triplicate had a Standard Deviation higher than 0.2.
!sample_table_begin
ID_REF	Signal Median CH1	Background Median CH1	Signal Median CH2	Background Median CH2	Log2ratio	Flag	VALUE	UNF_VALUE
1	903	578.5	336	160.5	0.89	2		
2	3258	374	4620	182	-0.62	1		
3	14134	227.5	18486	138	-0.4	0		
4	19927.5	166	26983	211	-0.44	0	-0.0121	-0.0121
5	19259.5	170	26354	189.5	-0.45	0	-0.0121	-0.0121
6	17621	134.5	24370	206.5	-0.47	0	-0.0121	-0.0121
7	11508.5	168	16667	182	-0.54	0		
8	10954	169	16949.5	255.5	-0.63	0		
9	10917.5	248.5	16514	235.5	-0.61	0		
10	6990.5	231	10628	223	-0.62	0	-0.0688	-0.0688
11	6734	130.5	10499	168	-0.65	0	-0.0688	-0.0688
12	6411	129	10411	157	-0.71	0	-0.0688	-0.0688
13	9647	193.5	14040	146	-0.56	0		
14	8948	44	13541	124	-0.59	0		
15	10470	72	15105	124	-0.53	0		
16	9056	83.5	14120	117	-0.64	0	0.0219	0.0219
17	8905	96.5	13378	149.5	-0.59	0	0.0219	0.0219
18	9044	22.5	13195	124.5	-0.53	0	0.0219	0.0219
19	962	522	215	116	2.15	2		
20	2546	336.5	2065	229.5	0.27	1		
!sample_table_end
