^SAMPLE = GSM197684
!Sample_title = Adenoma 1 (F23A1_s13_b16)
!Sample_geo_accession = GSM197684
!Sample_status = Public on Oct 15 2008
!Sample_submission_date = Jun 04 2007
!Sample_last_update_date = Oct 15 2008
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = colon
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Adenoma 1
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = protocol available on www.vumc.nl/microarrays
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = as described by Snijders et al, Nat Genetics, volume 29, p 263-4
!Sample_source_name_ch2 = Female Reference DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = A pool of ten normal individuals
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = DNAzol (Invitrogen) according to manufacturer's protocol
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = as described by Snijders et al, Nat Genetics, volume 29, p 263-4
!Sample_hyb_protocol = as described by Carvalho et al, Cell Oncol. 2006;28(5-6):283-94.
!Sample_scan_protocol = Microarray Scanner G2505B (Agilent Technologies), default settings
!Sample_description = n/a
!Sample_data_processing = Spots were quantified in ImaGene 5.6.1 software using default settings. BAC clones were positioned along the genome according to the July 2003 freeze. After exclusion of flagged spots, the average of the triplicate spots was calculated for each BAC clone and 2log ratios (tumour/normal reference signal) were normalised by subtraction of the mode value of BAC clones on chromosome 1-22. BAC clones with flagged spots were excluded from analysis.
!Sample_platform_id = GPL3442
!Sample_contact_name = Daoud,,Sie
!Sample_contact_email = d.sie@vumc.nl
!Sample_contact_phone = +31 20 4442428
!Sample_contact_laboratory = Microarray Core Facility
!Sample_contact_department = Pathology
!Sample_contact_institute = Vrije Universiteit Medical Center
!Sample_contact_address = De Boelelaan 1117
!Sample_contact_city = Amsterdam
!Sample_contact_zip/postal_code = 1081 HV
!Sample_contact_country = Netherlands
!Sample_supplementary_file = NONE
!Sample_series_id = GSE8067
!Sample_data_row_count = 15528
#ID_REF = 
#Signal Median CH1 = spot signal channel 1 (Cy3)
#Background Median CH1 = background signal of channel 1 (Cy3)
#Signal Median CH2 = spot signal channel 2 (Cy5)
#Background Median CH2 = background signal of channel 1 (Cy5)
#Log2ratio = 
#Flag = A flag to highlight spots that suffer frmo poor prinitng and other experimental artefacts (0 acceptable; 1-4 not acceptable)
#VALUE = same as UNF_VALUE but with flagged values removed
#UNF_VALUE = Normalized value of the log2ratio. Flagged features are excluded. Values where also deleted if the each triplicate had a Standard Deviation higher than 0.2.
!sample_table_begin
ID_REF	Signal Median CH1	Background Median CH1	Signal Median CH2	Background Median CH2	Log2ratio	Flag	VALUE	UNF_VALUE
1	22066	468.5	23207	256.5	-0.09	0		
2	22569	353	24120	286	-0.1	0		
3	21746.5	255.5	22152.5	280.5	-0.03	0		
4	26735	250	28369.5	273.5	-0.09	0	0.0157	0.0157
5	26320.5	298.5	28448.5	243.5	-0.12	0	0.0157	0.0157
6	27539	265	29956	208.5	-0.13	0	0.0157	0.0157
7	20655	333	23019	250.5	-0.16	0		
8	19836.5	456.5	21329.5	265	-0.12	0		
9	19507	325.5	21864.5	214.5	-0.17	0		
10	12832	198	12872	213	0	0	0.0689	0.0689
11	12621	254.5	12894.5	202.5	-0.04	0	0.0689	0.0689
12	12657	357.5	12242.5	246	0.04	0	0.0689	0.0689
13	17905	576.5	18271	334.5	-0.05	0		
14	16704	602	17753	275.5	-0.12	0		
15	16480	452.5	17326	269.5	-0.09	0		
16	15190	387	14387	277.5	0.07	0	0.0157	0.0157
17	14347	565	14369	290	-0.03	0	0.0157	0.0157
18	14757	416.5	13939	289	0.07	0	0.0157	0.0157
19	18233	195.5	19237	236.5	-0.08	0		
20	15289.5	362.5	16288.5	302	-0.1	0		
!sample_table_end
