^SAMPLE = GSM197322
!Sample_title = Adenoma component of a progressed adenoma (P25A_s23_b17)
!Sample_geo_accession = GSM197322
!Sample_status = Public on Oct 15 2008
!Sample_submission_date = Jun 01 2007
!Sample_last_update_date = Oct 15 2008
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = colon
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Adenoma component of a progressed adenoma
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = as described in Weiss et al, Mol Pathol. 1999 Oct;52(5):243-51.  
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = as described by Snijders et al, Nat Genetics, volume 29, p 263-4
!Sample_source_name_ch2 = male Reference DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = A pool of ten normal individuals
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = DNAzol (Invitrogen) according to manufacturer's protocol
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = as described by Snijders et al, Nat Genetics, volume 29, p 263-4
!Sample_hyb_protocol = as described by Carvalho et al, Cell Oncol. 2006;28(5-6):283-94.  
!Sample_scan_protocol = Microarray Scanner G2505B (Agilent Technologies), default settings
!Sample_description = n/a
!Sample_data_processing = Spots were quantified in ImaGene 5.6.1 software using default settings. BAC clones were positioned along the genome according to the July 2003 freeze. After exclusion of flagged spots, the average of the triplicate spots was calculated for each BAC clone and 2log ratios (tumour/normal reference signal) were normalised by subtraction of the mode value of BAC clones on chromosome 1-22. BAC clones with flagged spots were excluded from analysis.							
!Sample_platform_id = GPL3442
!Sample_contact_name = Daoud,,Sie
!Sample_contact_email = d.sie@vumc.nl
!Sample_contact_phone = +31 20 4442428
!Sample_contact_laboratory = Microarray Core Facility
!Sample_contact_department = Pathology
!Sample_contact_institute = Vrije Universiteit Medical Center
!Sample_contact_address = De Boelelaan 1117
!Sample_contact_city = Amsterdam
!Sample_contact_zip/postal_code = 1081 HV
!Sample_contact_country = Netherlands
!Sample_supplementary_file = NONE
!Sample_series_id = GSE8067
!Sample_data_row_count = 15528
#ID_REF = 
#Signal Median CH1 = spot signal channel 1 (Cy3)
#Background Median CH1 = background signal of channel 1 (Cy3)
#Signal Median CH2 = spot signal channel 2 (Cy5)
#Background Median CH2 = background signal of channel 1 (Cy5)
#Log2ratio = 
#Flag = A flag to highlight spots that suffer frmo poor prinitng and other experimental artefacts (0 acceptable; 1-4 not acceptable)
#VALUE = same as UNF_VALUE but with flagged values removed
#UNF_VALUE = Normalized value of the log2ratio. Flagged features are excluded. Values where also deleted if the each triplicate had a Standard Deviation higher than 0.2.
!sample_table_begin
ID_REF	Signal Median CH1	Background Median CH1	Signal Median CH2	Background Median CH2	Log2ratio	Flag	VALUE	UNF_VALUE
1	10513	213.5	16118	140.5	-0.63	0		
2	10814	165	16551.5	123	-0.63	0		
3	10435.5	231	15665.5	116	-0.61	0		
4	10829	241	20066	143	-0.91	0	-0.0105	-0.0105
5	10757	221	20830	148	-0.97	0	-0.0105	-0.0105
6	8765	235	13597.5	138	-0.66	0	-0.0105	-0.0105
7	10823.5	195	18355	146.5	-0.78	0		
8	11291	185	18725	127.5	-0.74	0		
9	10837	226	19275	144	-0.85	0		
10	5203	216	10303	123	-1.03	0	-0.0398	-0.0398
11	5128	221	10077	146.5	-1.02	0	-0.0398	-0.0398
12	5160	268	9558.5	125	-0.95	0	-0.0398	-0.0398
13	9119	235	15568	144	-0.8	0		
14	9647	233	16244.5	126	-0.78	0		
15	9793	236	16894.5	129.5	-0.81	0		
16	6803	235	14200.5	130.5	-1.1	0	0.0702	0.0702
17	6652.5	251	14105	111	-1.13	0	0.0702	0.0702
18	6904	230.5	14202.5	128.5	-1.08	0	0.0702	0.0702
19	9683	218	15882	131	-0.73	0		
20	8933	184	14623	121	-0.73	0		
!sample_table_end
