^SAMPLE = GSM259825
!Sample_title = MicMa 079
!Sample_geo_accession = GSM259825
!Sample_status = Public on Jul 01 2010
!Sample_submission_date = Jan 28 2008
!Sample_last_update_date = Jan 22 2010
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = primary breast carcinoma, MicMa 079
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Tissue: breast carcinoma, part of a larger cohort of stage I and II primary tumors. 
!Sample_characteristics_ch1 = Gender: female
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Tumor DNA was extracted at The Norwegian Radium Hospital using an ABI 341 Nucleic Acid Purification System (Applied Biosystems) according to manufacturerâs protocol. Fresh frozen tumor tissue were homogenized and digested before phenol chloroform extraction on the ABI 341 system. DNA was stored at 4ÂºC until use.
!Sample_label_ch1 = Cy5
!Sample_label_protocol_ch1 = 100 ng genomic DNA was amplified using phi29 DNA polymerase at 30ÂºC, 16 hours over night. Amplified DNA was digested using 50 units AluI and 50 units RsaI nucleases, 2 hours incubation at 37ÂºC. The amplified and digested DNA was purified using QIAprep Miniprep Kit (QIAGEN) according to manufacturer's protocol, and quantified using a NanoDrop ND-1000 UV-Vis Spectrophotometer (NanoDrop Technologies).  10 Î¼g amplified and digested DNA was labeled with Cy5-dUTP (PerkinElmer) using the BioPrime Labeling System (Invitrogen). Cy3 and Cy5 reactions were combined and purified using Microcon YM-30 Filters (Amicon).
!Sample_source_name_ch2 = Human Male Genomic DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Purified human genomic DNA from multiple anonymous donors. Promega Cat.# G1471
!Sample_biomaterial_provider_ch2 = Promega
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = Genomic DNA are purified (extraction method unknown), and greater than 90% of the DNA is longer than 50kb in size as measured by pulsed-field gel electrophoresis. The DNA is stored in 10mM Tris-HCl (pH 8.0), 1mM EDTA.
!Sample_label_ch2 = Cy3
!Sample_label_protocol_ch2 = 100 ng genomic DNA was amplified using phi29 DNA polymerase at 30ÂºC, 16 hours over night. Amplified DNA was digested using 50 units AluI and 50 units RsaI nucleases, 2 hours incubation at 37ÂºC. The amplified and digested DNA was purified using QIAprep Miniprep Kit (QIAGEN) according to manufacturer's protocol, and quantified using a NanoDrop ND-1000 UV-Vis Spectrophotometer (NanoDrop Technologies).  10 Î¼g amplified and digested DNA was labeled with Cy3-dUTP (PerkinElmer) using the BioPrime Labeling System (Invitrogen). Cy3 and Cy5 reactions were combined and purified using Microcon YM-30 Filters (Amicon).
!Sample_hyb_protocol = For each experiment, 10 Î¼g labeled tumor DNA, 10 Î¼g labeled reference DNA, Agilent blocking agent, Cot-1 DNA and Agilent hybridization buffer were loaded onto the arrays and assembled in hybridization chambers according to manufacturerâs protocol.Arrays were incubated at 65ÂºC for 40 hours in a Robbins Scientific oven with rotary motion (20 rpm).Hybridization chambers were taken out of the oven, arrays quickly disassembled in washing solution 1 (0.5 x SSPE, 0.005% N-lauroylsarcosine) and placed in slide-rack submerged in fresh washing solution 1.Arrays were manually washed in batches of four; five minutes in washing solution 1, one minute in washing solution 2 (0.1 x SSPE 0.005% N-lauroylsarcosine) at 37ÂºC, one minute in 100% acetonitrile (Merck) and 30 seconds in Stabilization & Drying solution (Agilent Technologies).Arrays were protected from light until scanning.
!Sample_scan_protocol = ScannerName: Agilent Technologies Scanner G2505B US22502513
!Sample_scan_protocol = NumChannels: 2
!Sample_scan_protocol = MicronsPerPixel: 10
!Sample_scan_protocol = FeatureExtractor_ScanFileGUID: e4fe23c9-8c99-4157-b681-88b0ff1d7e7a
!Sample_description = The arrays were scanned within 30 minutes after washing, using an Agilent Microarray Scanner. Data extraction, filtering and normalization were conducted using the Feature Extraction software version A.7.5.1 from Agilent Technologies
!Sample_data_processing = VALUE = LogRatio (base 10): (REDsignal/GREENsignal) per feature (processed signals used).
!Sample_data_processing = Processed signals: Raw intensities are background corrected using local background subtraction. A linear normalization is applied to correct for dye bias.
!Sample_platform_id = GPL2873
!Sample_contact_name = JÃ¸rgen,MÃ¸mb,AarÃ¸e
!Sample_contact_email = jorgen.aaroe@rr-research.no
!Sample_contact_phone = +4791774653
!Sample_contact_fax = +4722934440
!Sample_contact_laboratory = Genetics
!Sample_contact_department = Genetics
!Sample_contact_institute = The Norwegian Radium Hospital
!Sample_contact_address = Montebello
!Sample_contact_city = Oslo
!Sample_contact_zip/postal_code = N-0310
!Sample_contact_country = Norway
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM259nnn/GSM259825/suppl/GSM259825.txt.gz
!Sample_series_id = GSE10583
!Sample_data_row_count = 42633
#ID_REF = Agilent feature number
#VALUE = LogRatio (base 10): (REDsignal/GREENsignal) per feature (processed signals used)
#gProcessedSignal = green (Cy3) preprossed signal
#rProcessedSignal = red (Cy5) preprossed signal
#gMeanSignal = Raw mean signal of feature in green channel (inlier pixels)
#rMeanSignal = Raw mean signal of feature in red channel (inlier pixels)
#gBGSubSignal = green background-subtracted signal
#rBGSubSignal = red background-subtracted signal
!sample_table_begin
ID_REF	VALUE	gProcessedSignal	rProcessedSignal	gMeanSignal	rMeanSignal	gBGSubSignal	rBGSubSignal
1	-2.00E+00	2.51E+04	7.68E+01	4.78E+03	1.23E+02	4660.33	15.8467
2	0.00E+00	6.12E+00	8.43E+00	1.23E+02	1.10E+02	-0.3159	3.00057
3	-1.47E-02	1.05E+03	1.01E+03	3.18E+02	3.16E+02	194.86	209.329
4	-9.48E-02	1.24E+03	1.00E+03	3.54E+02	3.14E+02	231.174	206.492
5	-3.92E-02	9.82E+02	8.97E+02	3.06E+02	2.92E+02	182.323	185.08
6	-6.21E-02	9.74E+02	8.44E+02	3.04E+02	2.81E+02	180.901	174.24
7	-2.00E+00	3.15E+04	1.03E+02	5.97E+03	1.28E+02	5842.72	21.3295
8	-6.30E-02	7.78E+02	6.73E+02	2.68E+02	2.46E+02	144.481	138.847
9	-7.85E-02	4.02E+02	3.35E+02	1.98E+02	1.76E+02	74.658	69.2338
10	-2.23E-01	1.46E+03	8.74E+02	3.95E+02	2.87E+02	271.4	180.298
11	-6.61E-02	1.01E+03	8.64E+02	3.10E+02	2.85E+02	186.895	178.329
12	-5.65E-02	4.58E+02	4.02E+02	2.08E+02	1.90E+02	85.0674	82.9847
13	6.70E-02	2.23E+03	2.61E+03	5.38E+02	6.45E+02	414.797	537.81
14	-2.00E+00	3.29E+04	1.34E+02	6.24E+03	1.35E+02	6118.8	27.7313
15	1.93E-01	1.80E+02	2.81E+02	1.57E+02	1.65E+02	33.4413	57.9717
16	-1.12E-01	1.90E+03	1.47E+03	4.77E+02	4.10E+02	353.294	303.061
17	-2.16E-02	5.63E+02	5.35E+02	2.28E+02	2.18E+02	104.5	110.476
18	-3.21E-02	5.83E+02	5.42E+02	2.32E+02	2.19E+02	108.352	111.81
19	-8.11E-02	1.43E+03	1.19E+03	3.89E+02	3.53E+02	266.191	245.378
20	-5.24E-02	1.42E+03	1.26E+03	3.87E+02	3.67E+02	263.365	259.382
!sample_table_end
