^SAMPLE = GSM414811
!Sample_title = BRCA2 - B2026
!Sample_geo_accession = GSM414811
!Sample_status = Public on Jul 05 2010
!Sample_submission_date = Jun 09 2009
!Sample_last_update_date = Jul 05 2010
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = B2026
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = organ: mammary gland
!Sample_characteristics_ch1 = disease: infiltrating ductal carcinoma
!Sample_characteristics_ch1 = genotype: mutation in the BRCA2 gene
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = As decribed in:
!Sample_extract_protocol_ch1 = Prediction of BRCA1-association in hereditary non-BRCA1/2 breast carcinomas with array-CGH.
!Sample_extract_protocol_ch1 = Joosse SA, van Beers EH, Tielen IH, Horlings H, Peterse JL, Hoogerbrugge N, Ligtenberg MJ, Wessels LF, Axwijk P, Verhoef S, Hogervorst FB, Nederlof PM.
!Sample_extract_protocol_ch1 = Breast Cancer Res Treat. 2008 Aug 14
!Sample_label_ch1 = Cy5
!Sample_label_protocol_ch1 = As described in:
!Sample_label_protocol_ch1 = Automated array-CGH optimized for archival formalin-fixed, paraffin-embedded tumor material.
!Sample_label_protocol_ch1 = Joosse SA, van Beers EH, Nederlof PM.
!Sample_label_protocol_ch1 = BMC Cancer. 2007 Mar 7;7:43.
!Sample_source_name_ch2 = Women reference pool
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = sample: A pool of DNA from peripheral blood lymphocytes, from 7 apparently healty women.
!Sample_characteristics_ch2 = disease: healthy appearing
!Sample_characteristics_ch2 = cell type: peripheral blood lymphocytes
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = As decribed in:
!Sample_extract_protocol_ch2 = Prediction of BRCA1-association in hereditary non-BRCA1/2 breast carcinomas with array-CGH.
!Sample_extract_protocol_ch2 = Joosse SA, van Beers EH, Tielen IH, Horlings H, Peterse JL, Hoogerbrugge N, Ligtenberg MJ, Wessels LF, Axwijk P, Verhoef S, Hogervorst FB, Nederlof PM.
!Sample_extract_protocol_ch2 = Breast Cancer Res Treat. 2008 Aug 14
!Sample_label_ch2 = Cy3
!Sample_label_protocol_ch2 = As described in:
!Sample_label_protocol_ch2 = Automated array-CGH optimized for archival formalin-fixed, paraffin-embedded tumor material.
!Sample_label_protocol_ch2 = Joosse SA, van Beers EH, Nederlof PM.
!Sample_label_protocol_ch2 = BMC Cancer. 2007 Mar 7;7:43.
!Sample_hyb_protocol = As described in:
!Sample_hyb_protocol = Automated array-CGH optimized for archival formalin-fixed, paraffin-embedded tumor material.
!Sample_hyb_protocol = Joosse SA, van Beers EH, Nederlof PM.
!Sample_hyb_protocol = BMC Cancer. 2007 Mar 7;7:43.
!Sample_scan_protocol = As described in:
!Sample_scan_protocol = Automated array-CGH optimized for archival formalin-fixed, paraffin-embedded tumor material.
!Sample_scan_protocol = Joosse SA, van Beers EH, Nederlof PM.
!Sample_scan_protocol = BMC Cancer. 2007 Mar 7;7:43.
!Sample_description = none
!Sample_data_processing = As described in:
!Sample_data_processing = Automated array-CGH optimized for archival formalin-fixed, paraffin-embedded tumor material.
!Sample_data_processing = Joosse SA, van Beers EH, Nederlof PM.
!Sample_data_processing = BMC Cancer. 2007 Mar 7;7:43.
!Sample_platform_id = GPL4560
!Sample_contact_name = Simon,A,Joosse
!Sample_contact_email = s.joosse@in-silico.net
!Sample_contact_department = Institute of Tumor Biology
!Sample_contact_institute = University Medical Center Hamburg-Eppendorf
!Sample_contact_address = Martinistrasse 52
!Sample_contact_city = Hamburg
!Sample_contact_zip/postal_code = 20246
!Sample_contact_country = Germany
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM414nnn/GSM414811/suppl/GSM414811_B2026_Green.txt.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM414nnn/GSM414811/suppl/GSM414811_B2026_Red.txt.gz
!Sample_series_id = GSE16511
!Sample_data_row_count = 3277
#ID_REF = 
#VALUE = normalized log2 test/reference ratio as described in Joosse et al. 2007
#StDev = Standard Deviation of the triplicate spot measurement
#Segment = Aberration level calculated by CGH-segmentation (Picard et al.)
!sample_table_begin
ID_REF	VALUE	StDev	Segment
3535	0.32292272	0.056623873	-0.048301569
3537	0.044062202	0.062402213	-0.048301569
2305	-0.052874751	0.107977314	-0.048301569
145	-0.280182127	0.0223056	-0.048301569
2309	-0.11918056	0.033488203	-0.048301569
2213	-0.078606455	0.013584423	-0.048301569
3	-0.235442407	0.023709488	-0.048301569
149	-0.017200799	0.02154118	-0.048301569
2313	-0.076091947	0.011017446	-0.048301569
153	-0.114146369	0.0367759	-0.048301569
2317	0.058659016	0.014815662	-0.048301569
3358	-0.195582219	0.025627619	-0.048301569
157	0.007667446	0.024717204	-0.048301569
53	-0.112150699	0.021905295	-0.048301569
2321	-0.229975146	0.029200113	-0.048301569
161	-0.032343393	0.042367411	-0.048301569
57	-0.241433811	0.030587826	-0.048301569
2325	0.007161472	0.006139677	-0.048301569
165	-0.054001476	0.001277924	-0.048301569
2221	-0.082727211	0.018665864	-0.048301569
!sample_table_end
