^SAMPLE = GSM284817
!Sample_title = Oral117
!Sample_geo_accession = GSM284817
!Sample_status = Public on Jul 01 2009
!Sample_submission_date = Apr 26 2008
!Sample_last_update_date = Feb 20 2009
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Oral_Specimen_117
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Formalin-fixed paraffin-embedded oral specimen.
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = All lesions were microdissected, and the dissected tissues were places in sodium dodecyl sulfate/proteinase K at 55Â°C and spiked twice a day for 72 hours with fresh proteinase K. Genomic DNA was extracted with phenol/chloroform and  with ethanol.
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = Random prime probe labeling was performed to label sample and reference genomic DNA (250ng each).  Each reaction was labeled with either 2 nmol of cyanine-3 or cyanine-5 dCTP.
!Sample_source_name_ch2 = Normal male
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Novagen pooled normal male genomic DNA.
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = Purchased genomic DNA.
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = Random prime probe labeling was performed to label sample and reference genomic DNA (250ng each). Each reaction was labeled with either 2 nmol of cyanine-3 or cyanine-5 dCTP.
!Sample_hyb_protocol = Probes were combined, denatured and annealed in a solution containing 100 ug human Cot-1 DNA (Invitrogen) and 48 ul DIG Easy hybridization solution (Roche) containing sheared herring sperm DNA (Sigma-Aldrich) and yeast tRNA (Calbiochem). Probe was denautred at 85Â°C for 5 minutes, and repetitive sequences were blocked at 45Â°C for 1 hour prior to hybridization. The probe mixture was applied to the slide surface and hybridized for 36 hrs at 45Â°C. The arrays were washed 5 times in 0.1X SSC, 0.1% SDS at room temperature with agitation. Each array was then rinsed repeatedly in 0.1X SSC and dried by centrifugation.
!Sample_scan_protocol = A charge-coupled device (CCD) scanner system (ARrayworx eAuto, API, Issaquah, WA) was used to determine the signal intensities of the Cyanine 5/Cyanine3 channels. Arrays were scanned at a 9.75um resolution; exposure times for each image wavelength were usually between 0.2 to 2 sec. Images were analyzed by SoftWoRx Tracker analysis software (Applied Precision, Issaquah, WA, USA).
!Sample_description = N/A
!Sample_data_processing = A three-step normalization procedure [Khojasteh et al. BMC Bioinformatics 6:274, 2005] was performed to each raw data.
!Sample_platform_id = GPL2616
!Sample_contact_name = T,,Buys
!Sample_contact_laboratory = Wan Lam Lab
!Sample_contact_department = Cancer Genetics and Developmental Biology
!Sample_contact_institute = British Columbia Cancer Research Centre
!Sample_contact_address = 675 W.10th Avenue
!Sample_contact_city = Vancouver
!Sample_contact_state = BC
!Sample_contact_zip/postal_code = V5Z 1L3
!Sample_contact_country = Canada
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM284nnn/GSM284817/suppl/GSM284817.txt.gz
!Sample_series_id = GSE11275
!Sample_data_row_count = 53856
#ID_REF = 
#Spot Mean Intensity (13111995_w595) = Mean intensity of spot for Cy3 channel
#Spot Mean Intensity (13111995_w685) = Mean intensity of spot for Cy5 channel
#Background Median Intensity (13111995_w595) = Median signal intensity from area around spot for Cy3 channel
#Background Median Intensity (13111995_w685) = Median signal intensity from area around spot for Cy5 channel
#Spot Normalized Intensity (13111995_w595) = Locally normalized value for mean intensity of spot for Cy3 channel
#Spot Normalized Intensity (13111995_w685) = Locally normalized value for mean intensity of spot for Cy5 channel
#Spot SNR (13111995_w595) = Column "Spot Mean Intensity (w595)" divided by column "Background Median Intensity (w595)"
#Spot SNR (13111995_w685) = Column "Spot Mean Intensity (w685)" divided by column "Background Median Intensity (w685)"
#Spot Ratio (13111995_w595) = Column "Spot Normalized Intensity (w595)" divided by column "Spot Normalized Intensity (w685)"
#Spot Ratio (13111995_w685) = Column "Spot Normalized Intensity (w685)" divided by column "Spot Normalized Intensity (w595)"
#Spot Log2 Ratio (13111995_w595) = log2 for column labeled "Spot Ratio (595)"
#VALUE = log 2 ratio test/reference (Spot log2 ratio (w595) column following spatial bias normalization)
!sample_table_begin
ID_REF	Spot Mean Intensity (13111995_w595)	Spot Mean Intensity (13111995_w685)	Background Median Intensity (13111995_w595)	Background Median Intensity (13111995_w685)	Spot Normalized Intensity (13111995_w595)	Spot Normalized Intensity (13111995_w685)	Spot SNR (13111995_w595)	Spot SNR (13111995_w685)	Spot Ratio (13111995_w595)	Spot Ratio (13111995_w685)	Spot Log2 Ratio (13111995_w595)	VALUE
1	5139.71	5803.94	1953.5	2047.5	3186.21	3756.44	7.23038	7.41266	0.720668	1.387418	-0.4725932	-0.204859
2	6197.13	6239.85	1921	1989	4276.13	4250.85	9.96203	10.20345	0.854696	1.169852	-0.2265168	0.049444
3	4974.37	4667.04	1806	1946	3168.37	2721.045	7.70863	6.54694	0.9893209	1.010661	-0.01548946	0.204108
4	4526.71	5000.35	1785	1888.5	2741.712	3111.849	11.52774	13.99905	0.748583	1.33568	-0.4177658	-0.207521
5	3798.15	3657.99	1653.5	1727	2144.647	1930.985	4.68418	5.09442	0.9436554	1.059569	-0.08366793	0.015165
6	4363.01	4859.22	1541	1594	2822.014	3265.22	14.29923	11.73418	0.7343166	1.36163	-0.4455258	-0.230603
7	4295.32	4807.61	1388	1437	2907.319	3370.61	12.5251	10.34997	0.7328594	1.364338	-0.4483916	-0.224219
8	3789.81	4069.21	1382	1395.5	2407.813	2673.713	33.1954	27.12791	0.7651464	1.306767	-0.3861922	-0.212514
9	4223.38	4919.62	1395	1431	2828.38	3488.62	29.44074	26.96586	0.6888438	1.451516	-0.5377511	-0.29911
10	4186.65	4894.82	1319.5	1326	2867.151	3568.82	27.78873	23.81747	0.6825945	1.464805	-0.5508993	-0.262792
11	3867.07	4602.54	1317	1250	2550.073	3352.54	27.82277	30.53291	0.6462712	1.547133	-0.6297883	-0.370483
12	4461.89	4066.82	1372	1263	3089.889	2803.819	37.3428	32.1849	0.936331	1.067857	-0.09490943	0.166052
13	3818.68	3941.47	1349.5	1269.5	2469.185	2671.966	24.0995	25.1898	0.785162	1.273454	-0.3489376	-0.12352
14	4423.24	4306	1287.5	1221	3135.739	3085	35.6412	35.5296	0.8636174	1.157767	-0.2115358	0.060633
15	4752.82	4619.65	1253	1177.5	3499.82	3442.15	38.2024	41.2462	0.863878	1.157418	-0.2111006	0.066172
16	3680.66	4079.41	1167	1123	2513.662	2956.406	38.381	37.7644	0.7224029	1.384086	-0.4691243	-0.231463
17	3097.974	3175.55	1103	1076.5	1994.974	2099.045	33.0188	30.86411	0.8075177	1.238199	-0.3084342	-0.159779
18	3278.51	3559.15	1093	1055	2185.513	2504.149	51.1522	55.5578	0.7415321	1.348381	-0.4314189	-0.103885
19	3713.68	3735.74	1113	1051	2600.679	2684.744	61.9544	46.4499	0.8230394	1.214848	-0.2809666	0.009761
20	3147.958	3667.28	1132	1062	2015.958	2605.278	24.713	27.19893	0.6574521	1.520822	-0.6050424	-0.352704
!sample_table_end
