^SAMPLE = GSM603615
!Sample_title = BRCA1 - B1076
!Sample_geo_accession = GSM603615
!Sample_status = Public on Dec 02 2010
!Sample_submission_date = Oct 04 2010
!Sample_last_update_date = Dec 02 2010
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = B1076
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = organ: mammary gland
!Sample_characteristics_ch1 = disease: invasive ductal carcinoma
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = As decribed in: Joosse SA, et al. Prediction of BRCA1-association in hereditary non-BRCA1/2 breast carcinomas with array-CGH. Breast Cancer Res Treat. 2008 Aug 14
!Sample_label_ch1 = Cy5
!Sample_label_protocol_ch1 = According to the manufacturer's instructions (Kreatech Biotechnology, Amsterdam).
!Sample_source_name_ch2 = Women reference pool
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = sample type: A pool of DNA from peripheral blood lymphocytes, from 6 apparently healthy women.
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = As decribed in: Joosse SA, et al. Prediction of BRCA1-association in hereditary non-BRCA1/2 breast carcinomas with array-CGH. Breast Cancer Res Treat. 2008 Aug 14
!Sample_label_ch2 = Cy3
!Sample_label_protocol_ch2 = According to the manufacturer's instructions (Kreatech Biotechnology, Amsterdam).
!Sample_hyb_protocol = As described in: Joosse SA, van Beers EH, Nederlof PM. Automated array-CGH optimized for archival formalin-fixed, paraffin-embedded tumor material. BMC Cancer. 2007 Mar 7;7:43.
!Sample_scan_protocol = As described in: Joosse SA, van Beers EH, Nederlof PM. Automated array-CGH optimized for archival formalin-fixed, paraffin-embedded tumor material. BMC Cancer. 2007 Mar 7;7:43.
!Sample_data_processing = As described in:
!Sample_data_processing = Joosse SA, van Beers EH, Nederlof PM. Automated array-CGH optimized for archival formalin-fixed, paraffin-embedded tumor material. BMC Cancer. 2007 Mar 7;7:43.
!Sample_platform_id = GPL4560
!Sample_contact_name = Simon,A,Joosse
!Sample_contact_email = s.joosse@in-silico.net
!Sample_contact_department = Institute of Tumor Biology
!Sample_contact_institute = University Medical Center Hamburg-Eppendorf
!Sample_contact_address = Martinistrasse 52
!Sample_contact_city = Hamburg
!Sample_contact_zip/postal_code = 20246
!Sample_contact_country = Germany
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM603nnn/GSM603615/suppl/GSM603615_GreenCMF_Q545A6_S01_FlippedULtoLR.txt.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM603nnn/GSM603615/suppl/GSM603615_RedCMF_Q545A6_S01_FlippedULtoLR.txt.gz
!Sample_series_id = GSE9021
!Sample_data_row_count = 3277
#ID_REF = 
#VALUE = log2 ratio (Cy5/Cy3 or test/reference)
!sample_table_begin
ID_REF	VALUE
3535	1.682549425
3537	0.140659563
2305	-0.303069894
145	-0.292527073
2309	0.13921486
2213	-0.115654701
3	-0.692366067
149	0.212504945
2313	-0.296696397
153	-0.082505603
2317	0.156512034
3358	-0.0586701
157	0.336234913
53	-0.392784499
2321	-0.574676176
161	0.152642902
57	-0.241958917
2325	0.197864393
165	0.350139582
2221	0.141055618
!sample_table_end
