^SAMPLE = GSM503032
!Sample_title = Lovo-Li/4OHP oxaliplatin resistant
!Sample_geo_accession = GSM503032
!Sample_status = Public on Mar 01 2014
!Sample_submission_date = Feb 01 2010
!Sample_last_update_date = Mar 01 2014
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = LoVo-Li/4OHP
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: LoVo-Li/4OHP
!Sample_treatment_protocol_ch1 = Induced resistance to oxaliplatin with increasing concentrations. Weekly exposure of 4hrs
!Sample_growth_protocol_ch1 = LoVo-Li/4OHP cells were maintained in RPMI supplemented with 10% FCS
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = DNA was isolated using the Wizard Genomic DNA Purification kit (Promega Benelux, Leiden, The Netherlands) according the manufacturerâs protocol.
!Sample_label_ch1 = Cy5
!Sample_label_protocol_ch1 = DNA labeling protocol according to Enzo Life Sciences
!Sample_source_name_ch2 = LoVo-Li
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = cell line: LoVo-Li (parental)
!Sample_growth_protocol_ch2 = LoVo-Li cells were maintained in RPMI supplemented with 10% FCS
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = DNA was isolated using the Wizard Genomic DNA Purification kit (Promega Benelux, Leiden, The Netherlands) according the manufacturerâs protocol.
!Sample_label_ch2 = Cy3
!Sample_label_protocol_ch2 = DNA labeling protocol according to Enzo Life Sciences
!Sample_hyb_protocol = Hybridization protocol available via www.agilent.com
!Sample_scan_protocol = Slides were scanned using the Agilent microarray scanner, protocol according to Agilent.
!Sample_description = protocols according to manufacturer (Enzo Life Sciences www.agilent.com)
!Sample_data_processing = Images were auto gridded, analyzed and data extracted using Agilent Feature Extraction software (version 9.5.1.1). Raw expression data generated by the Feature Extraction software was normalised and smoothend using the R-script "NOWAVE" as described in: Smoothing waves in array CGH tumor profiles, Bioinformatics. 2009 May 1;25(9):1099-104.
!Sample_platform_id = GPL5477
!Sample_contact_name = Daoud,,Sie
!Sample_contact_email = d.sie@vumc.nl
!Sample_contact_phone = +31 20 4442428
!Sample_contact_laboratory = Microarray Core Facility
!Sample_contact_department = Pathology
!Sample_contact_institute = Vrije Universiteit Medical Center
!Sample_contact_address = De Boelelaan 1117
!Sample_contact_city = Amsterdam
!Sample_contact_zip/postal_code = 1081 HV
!Sample_contact_country = Netherlands
!Sample_supplementary_file = NONE
!Sample_series_id = GSE20144
!Sample_data_row_count = 45214
#ID_REF = 
#VALUE = norm log2 ratio (resistant/parental)
#MAL_251495014120_S01_CGH-v4_95_Feb07_1_4_rBGSubSignal = LoVo-Li/4OHP
#MAL_251495014120_S01_CGH-v4_95_Feb07_1_3_gBGSubSignal = LoVo-Li
!sample_table_begin
ID_REF	VALUE	MAL_251495014120_S01_CGH-v4_95_Feb07_1_4_rBGSubSignal	MAL_251495014120_S01_CGH-v4_95_Feb07_1_3_gBGSubSignal
1		10297.2	4115.4
2	-0.21453	-14.3701	-6.44276
3	0.20347	-11.2973	-3.19381
4	0.47947	-12.9642	-7.00138
5	-0.14053	-18.7932	-8.79367
6	-0.15953	-12.5475	-4.56093
7	0.34947	-17.0887	-6.17669
8	-0.20453	-13.2917	-5.18966
9	0.01897	-17.4974	-2.729
10	0.09847	-17.0877	-7.53006
11	0.15447	-14.3238	-4.14935
12	-0.18953	2049.06	876.713
13		2141.21	1251.19
14	-0.15653	14695.6	5779.64
15	-0.25753	1257.98	604.013
16	-0.22153	2322.88	1094.35
17	-0.27553	6218.08	2737.83
18	-0.16353	1406.76	800.921
19	-0.28253	637.738	398.781
20	-0.02623	818.547	514.637
!sample_table_end
