^SAMPLE = GSM503149
!Sample_title = LoVo-92
!Sample_geo_accession = GSM503149
!Sample_status = Public on Mar 01 2014
!Sample_submission_date = Feb 01 2010
!Sample_last_update_date = Mar 01 2014
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = LoVo-92
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: LoVo-92 (parental)
!Sample_biomaterial_provider_ch1 = Marie-France Poupon
!Sample_growth_protocol_ch1 = LoVo-92 cells were maintained in RPMI supplemented with 10% FCS
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = DNA was isolated using the Wizard Genomic DNA Purification kit (Promega Benelux, Leiden, The Netherlands) according the manufacturerâs protocol.
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = DNA labeling protocol according to Enzo Life Sciences
!Sample_source_name_ch2 = RefXX
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = reference: pooled WBC from healthy female volunteers
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = DNA was isolated using the Wizard Genomic DNA Purification kit (Promega Benelux, Leiden, The Netherlands) according the manufacturerâs protocol.
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = DNA labeling protocol according to Enzo Life Sciences
!Sample_hyb_protocol = Hybridization protocol available via www.agilent.com
!Sample_scan_protocol = Slides were scanned using the Agilent microarray scanner, protocol according to Agilent.
!Sample_description = protocols according to manufacturer (Enzo Life Sciences www.agilent.com)
!Sample_data_processing = Images were auto gridded, analyzed and data extracted using Agilent Feature Extraction software (version 9.5.1.1). Raw expression data generated by the Feature Extraction software was normalised and smoothend using the R-script "NOWAVE" as described in: Smoothing waves in array CGH tumor profiles, Bioinformatics. 2009 May 1;25(9):1099-104.
!Sample_platform_id = GPL5477
!Sample_contact_name = Daoud,,Sie
!Sample_contact_email = d.sie@vumc.nl
!Sample_contact_phone = +31 20 4442428
!Sample_contact_laboratory = Microarray Core Facility
!Sample_contact_department = Pathology
!Sample_contact_institute = Vrije Universiteit Medical Center
!Sample_contact_address = De Boelelaan 1117
!Sample_contact_city = Amsterdam
!Sample_contact_zip/postal_code = 1081 HV
!Sample_contact_country = Netherlands
!Sample_supplementary_file = NONE
!Sample_series_id = GSE20144
!Sample_data_row_count = 45214
#ID_REF = 
#VALUE = norm log2 ratio (parental/reference DNA)
#MAL_251495014120_S01_CGH-v4_95_Feb07_1_2_gBGSubSignal = LoVo-92
#MAL_251495014120_S01_CGH-v4_95_Feb07_1_1_rBGSubSignal = RefXX
!sample_table_begin
ID_REF	VALUE	MAL_251495014120_S01_CGH-v4_95_Feb07_1_2_gBGSubSignal	MAL_251495014120_S01_CGH-v4_95_Feb07_1_1_rBGSubSignal
1		3433.4	16979.8
2	0.11073	-6.6782	-39.4063
3	-0.17227	-9.41366	-34.7056
4	-0.59927	-8.2914	-27.5741
5	0.13073	-7.48323	-34.0322
6	0.16673	-6.74631	-35.7201
7	-0.11927	-8.19229	-42.98
8	0.03363	-6.76469	-42.0895
9	-0.09747	-5.90733	-37.3346
10	-0.27427	-5.62189	-36.9967
11	-0.16627	-8.13553	-28.1247
12	0.07583	888.675	2790.68
13		1162.11	3047.48
14	0.40973	5196.05	17046.1
15	-0.06967	598.207	1890.91
16	-0.01847	1050.38	3324.51
17	-0.10827	2650.09	7559.68
18	-0.24027	499.146	1572.82
19	-0.22427	362.136	1087.32
20	-0.20427	466.679	1458.03
!sample_table_end
